Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-09-27,3,3,25.208,PIT,CIN,True,5,1,18,18.00,0,20.0%,3.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,20,23,Santonio Holmes
2009,2009-10-04,4,4,25.215,PIT,SDG,True,5,4,52,13.00,0,80.0%,10.40,1,7,7.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,38,28,Santonio Holmes
2009,2009-10-11,5,5,25.222,PIT,DET,True,6,4,50,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,28,20,Santonio Holmes
2009,2009-10-18,6,6,25.229,PIT,CLE,True,8,5,104,20.80,0,62.5%,13.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,27,14,Santonio Holmes
2009,2009-10-25,7,7,25.236,PIT,MIN,True,7,2,59,29.50,0,28.6%,8.43,1,1,1.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,27,17,Santonio Holmes
2009,2009-11-09,8,9,25.251,PIT,DEN,True,6,6,93,15.50,0,100.0%,15.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,28,10,Santonio Holmes
2009,2009-11-15,9,10,25.257,PIT,CIN,True,14,7,88,12.57,0,50.0%,6.29,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,12,18,Santonio Holmes
2009,2009-11-22,10,11,25.264,PIT,KAN,True,10,7,86,12.29,0,70.0%,8.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,24,27,Santonio Holmes
2009,2009-11-29,11,12,25.271,PIT,BAL,True,10,6,74,12.33,1,60.0%,7.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,17,20,Santonio Holmes
2009,2009-12-06,12,13,25.278,PIT,OAK,True,9,8,149,18.63,1,88.9%,16.56,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,24,27,Santonio Holmes
