Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-11-13,9,10,24.086,MIN,NYG,True,6,2,14,7.00,0,33.3%,2.33,1,-4,-4.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,True,24,21,Nate Burleson
2005,2005-11-21,10,11,,MIN,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,20,17,Nate Burleson
2005,2005-11-27,11,12,24.100,MIN,CLE,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,24,12,Nate Burleson
2005,2005-12-04,12,13,24.107,MIN,DET,False,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,4,17,4.25,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,21,16,Nate Burleson
2005,2005-12-11,13,14,24.114,MIN,STL,True,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,27,13,Nate Burleson
2005,2005-12-18,14,15,24.121,MIN,PIT,False,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,False,False,3,18,Nate Burleson
2005,2005-12-25,15,16,24.128,MIN,BAL,True,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,23,30,Nate Burleson
2005,2006-01-01,16,17,24.135,MIN,CHI,True,8,6,66,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,34,10,Nate Burleson
2006,2006-09-10,1,1,25.022,SEA,DET,True,2,1,36,36.00,0,50.0%,18.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,9,6,Nate Burleson
2006,2006-09-17,2,2,25.029,SEA,ARI,True,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,21,10,Nate Burleson
