Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_Sfty,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-11-10,9,10,28.229,OAK,@,NYG,L 20-24,True,20,88,4.40,0,5,2,19,9.50,0,40.0%,3.80,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,96%,0,0%,0,0%,True,Rashad Jennings
2013,2013-11-17,10,11,28.236,OAK,@,HOU,W 28-23,True,22,150,6.82,1,3,2,-2,-1.00,0,66.7%,-0.67,0,0,,0,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,63,94%,0,0%,0,0%,True,Rashad Jennings
2013,2013-11-24,11,12,28.243,OAK,,TEN,L 19-23,True,16,73,4.56,0,5,4,49,12.25,0,80.0%,9.80,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,88%,0,0%,0,0%,False,Rashad Jennings
2013,2013-11-28,12,13,28.247,OAK,@,DAL,L 24-31,True,17,35,2.06,2,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,45,80%,0,0%,1,3%,True,Rashad Jennings
2013,2013-12-08,13,14,,OAK,@,NYJ,L 27-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashad Jennings
2013,2013-12-15,14,15,28.264,OAK,,KAN,L 31-56,True,23,91,3.96,2,3,3,12,4.00,0,100.0%,4.00,0,0,,0,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,61,77%,0,0%,1,3%,False,Rashad Jennings
2013,2013-12-22,15,16,28.271,OAK,@,SDG,L 13-26,True,10,45,4.50,0,4,3,27,9.00,0,75.0%,6.75,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,59%,0,0%,0,0%,True,Rashad Jennings
2013,2013-12-29,16,17,28.278,OAK,,DEN,L 14-34,True,4,9,2.25,0,3,2,8,4.00,0,66.7%,2.67,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,43%,0,0%,2,7%,False,Rashad Jennings
2014,2014-09-08,1,1,29.166,NYG,@,DET,L 14-35,True,16,46,2.88,1,5,4,50,12.50,0,80.0%,10.00,0,0,,0,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,70%,0,0%,0,0%,True,Rashad Jennings
2014,2014-09-14,2,2,29.172,NYG,,ARI,L 14-25,True,18,64,3.56,0,4,4,45,11.25,0,100.0%,11.25,0,0,,0,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,52,72%,0,0%,4,16%,False,Rashad Jennings
2014,2014-09-21,3,3,29.179,NYG,,HOU,W 30-17,True,34,176,5.18,1,0,0,0,,0,0.0%,,0,0,,0,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,76%,0,0%,2,6%,False,Rashad Jennings
2014,2014-09-25,4,4,29.183,NYG,@,WAS,W 45-14,True,13,55,4.23,0,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,44%,0,0%,0,0%,True,Rashad Jennings
2014,2014-10-05,5,5,29.193,NYG,,ATL,W 30-20,True,10,55,5.50,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,32%,0,0%,1,3%,False,Rashad Jennings
2014,2014-10-12,6,6,,NYG,@,PHI,L 0-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashad Jennings
2014,2014-10-19,7,7,,NYG,@,DAL,L 21-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashad Jennings
2014,2014-11-03,8,9,,NYG,,IND,L 24-40,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rashad Jennings
2014,2014-11-09,9,10,,NYG,@,SEA,L 17-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashad Jennings
