Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-12-30,16,17,31.172,HOU,IND,True,17,12,141,11.75,0,70.6%,8.29,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,95%,0,0%,0,0%,True,False,16,28,Andre Johnson
2013,2013-09-09,1,1,32.060,HOU,SDG,True,16,12,146,12.17,0,75.0%,9.13,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,93%,0,0%,0,0%,True,True,31,28,Andre Johnson
2013,2013-09-15,2,2,32.066,HOU,TEN,True,13,8,76,9.50,0,61.5%,5.85,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,73%,0,0%,0,0%,False,True,30,24,Andre Johnson
2013,2013-09-22,3,3,32.073,HOU,BAL,True,6,5,36,7.20,0,83.3%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,63%,0,0%,0,0%,True,False,9,30,Andre Johnson
2013,2013-09-29,4,4,32.080,HOU,SEA,True,12,9,110,12.22,0,75.0%,9.17,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,83,91%,0,0%,0,0%,False,False,20,23,Andre Johnson
2013,2013-10-06,5,5,32.087,HOU,SFO,True,10,3,39,13.00,0,30.0%,3.90,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,73%,0,0%,0,0%,True,False,3,34,Andre Johnson
2013,2013-10-13,6,6,32.094,HOU,STL,True,8,7,88,12.57,0,87.5%,11.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,76%,0,0%,0,0%,False,False,13,38,Andre Johnson
2013,2013-10-20,7,7,32.101,HOU,KAN,True,6,4,89,22.25,0,66.7%,14.83,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,98%,0,0%,0,0%,True,False,16,17,Andre Johnson
2013,2013-11-03,8,9,32.115,HOU,IND,True,13,9,229,25.44,3,69.2%,17.62,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,64,94%,0,0%,0,0%,False,False,24,27,Andre Johnson
2013,2013-11-10,9,10,32.122,HOU,ARI,True,12,5,37,7.40,2,41.7%,3.08,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,0,0%,True,False,24,27,Andre Johnson
2013,2013-11-17,10,11,32.129,HOU,OAK,True,17,10,116,11.60,0,58.8%,6.82,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,False,False,23,28,Andre Johnson
2013,2013-11-24,11,12,32.136,HOU,JAX,True,6,2,36,18.00,0,33.3%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,100%,0,0%,0,0%,False,False,6,13,Andre Johnson
2013,2013-12-01,12,13,32.143,HOU,NWE,True,9,8,121,15.13,0,88.9%,13.44,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,97%,0,0%,0,0%,False,False,31,34,Andre Johnson
2013,2013-12-05,13,14,32.147,HOU,JAX,True,21,13,154,11.85,0,61.9%,7.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,80,96%,0,0%,0,0%,True,False,20,27,Andre Johnson
2013,2013-12-15,14,15,32.157,HOU,IND,True,10,4,18,4.50,0,40.0%,1.80,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,51,78%,0,0%,0,0%,True,False,3,25,Andre Johnson
2013,2013-12-22,15,16,32.164,HOU,DEN,True,13,4,63,15.75,0,30.8%,4.85,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,94%,0,0%,0,0%,False,False,13,37,Andre Johnson
2013,2013-12-29,16,17,32.171,HOU,TEN,True,9,6,49,8.17,0,66.7%,5.44,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,98%,0,0%,0,0%,True,False,10,16,Andre Johnson
2014,2014-09-07,1,1,33.058,HOU,WAS,True,9,6,93,15.50,0,66.7%,10.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,98%,0,0%,0,0%,False,True,17,6,Andre Johnson
2014,2014-09-14,2,2,33.065,HOU,OAK,True,7,6,74,12.33,0,85.7%,10.57,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,85%,0,0%,0,0%,True,True,30,14,Andre Johnson
2014,2014-09-21,3,3,33.072,HOU,NYG,True,11,4,24,6.00,0,36.4%,2.18,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,98%,0,0%,0,0%,True,False,17,30,Andre Johnson
2014,2014-09-28,4,4,33.079,HOU,BUF,True,7,6,71,11.83,0,85.7%,10.14,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,52,76%,0,0%,0,0%,False,True,23,17,Andre Johnson
2014,2014-10-05,5,5,33.086,HOU,DAL,True,8,5,58,11.60,0,62.5%,7.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,86%,0,0%,0,0%,True,False,17,20,Andre Johnson
2014,2014-10-09,6,6,33.090,HOU,IND,True,12,7,99,14.14,1,58.3%,8.25,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,52,96%,0,0%,0,0%,False,False,28,33,Andre Johnson
