Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-12-23,15.0,16.0,,MIN,GNB,L 10-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dalvin Cook,False,10,23
2019.0,2019-12-29,16.0,17.0,,MIN,CHI,L 19-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dalvin Cook,False,19,21
2020.0,2020-09-13,1.0,1.0,25.034,MIN,GNB,L 34-43,True,12,50,4.17,2,2,1,-2,-2.00,0,50.0%,-1.00,2,2,16,0,0,0,0,0,0,30,58%,0,0%,0,0%,False,Dalvin Cook,False,34,43
2020.0,2020-09-20,2.0,2.0,25.041,MIN,IND,L 11-28,True,14,63,4.50,1,2,2,8,4.00,0,100.0%,4.00,1,1,8,0,0,0,0,0,0,43,80%,0,0%,0,0%,True,Dalvin Cook,False,11,28
2020.0,2020-09-27,3.0,3.0,25.048,MIN,TEN,L 30-31,True,22,181,8.23,1,5,2,18,9.00,0,40.0%,3.60,,1,6,1,1,0,0,0,0,48,74%,0,0%,0,0%,False,Dalvin Cook,False,30,31
2020.0,2020-10-04,4.0,4.0,25.055,MIN,HOU,W 31-23,True,27,130,4.81,2,2,2,16,8.00,0,100.0%,8.00,,2,12,0,0,0,0,0,0,49,74%,0,0%,0,0%,True,Dalvin Cook,True,31,23
2020.0,2020-10-11,5.0,5.0,25.062,MIN,SEA,L 26-27,True,17,65,3.82,1,5,5,24,4.80,0,100.0%,4.80,,1,6,0,0,0,0,0,0,36,41%,0,0%,0,0%,True,Dalvin Cook,False,26,27
2020.0,2020-10-18,6.0,6.0,,MIN,ATL,L 23-40,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dalvin Cook,False,23,40
2020.0,2020-11-01,7.0,8.0,25.083,MIN,GNB,W 28-22,True,30,163,5.43,3,3,2,63,31.50,1,66.7%,21.00,,4,24,0,0,0,0,0,0,46,88%,0,0%,0,0%,True,Dalvin Cook,True,28,22
2020.0,2020-11-08,8.0,9.0,25.09,MIN,DET,W 34-20,True,22,206,9.36,2,2,2,46,23.00,0,100.0%,23.00,,2,12,0,0,0,0,0,0,38,66%,0,0%,0,0%,False,Dalvin Cook,True,34,20
2020.0,2020-11-16,9.0,10.0,25.098,MIN,CHI,W 19-13,True,30,96,3.20,0,4,4,16,4.00,0,100.0%,4.00,,0,0,1,0,0,1,0,0,59,80%,0,0%,0,0%,True,Dalvin Cook,True,19,13
2020.0,2020-11-22,10.0,11.0,25.104,MIN,DAL,L 28-31,True,27,115,4.26,1,5,5,45,9.00,0,100.0%,9.00,,1,6,1,1,0,0,0,0,52,80%,0,0%,0,0%,False,Dalvin Cook,False,28,31
2020.0,2020-11-29,11.0,12.0,25.111,MIN,CAR,W 28-27,True,18,61,3.39,0,4,4,21,5.25,0,100.0%,5.25,,0,0,1,1,0,0,0,0,46,63%,0,0%,0,0%,False,Dalvin Cook,True,28,27
2020.0,2020-12-06,12.0,13.0,25.118,MIN,JAX,W 27-24,True,32,120,3.75,0,9,6,59,9.83,0,66.7%,6.56,,0,0,0,0,0,0,0,0,79,87%,0,0%,0,0%,False,Dalvin Cook,True,27,24
2020.0,2020-12-13,13.0,14.0,25.125,MIN,TAM,L 14-26,True,22,102,4.64,1,4,2,8,4.00,0,50.0%,2.00,,1,6,0,0,0,0,0,0,54,68%,0,0%,0,0%,True,Dalvin Cook,False,14,26
2020.0,2020-12-20,14.0,15.0,25.132,MIN,CHI,L 27-33,True,24,132,5.50,1,5,5,27,5.40,0,100.0%,5.40,,1,6,0,0,0,0,0,0,52,76%,0,0%,0,0%,False,Dalvin Cook,False,27,33
2020.0,2020-12-25,15.0,16.0,25.137,MIN,NOR,L 33-52,True,15,73,4.87,1,2,2,12,6.00,0,100.0%,6.00,,1,6,1,0,0,0,0,0,37,58%,0,0%,0,0%,True,Dalvin Cook,False,33,52
2020.0,2021-01-03,16.0,17.0,,MIN,DET,W 37-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dalvin Cook,True,37,35
2021.0,2021-09-12,1.0,1.0,26.033,MIN,CIN,L 24-27,True,20,61,3.05,1,7,6,43,7.17,0,85.7%,6.14,,1,6,1,1,0,0,0,0,59,71%,0,0%,0,0%,True,Dalvin Cook,False,24,27
2021.0,2021-09-19,2.0,2.0,26.04,MIN,ARI,L 33-34,True,22,131,5.95,0,3,2,17,8.50,0,66.7%,5.67,,0,0,0,0,0,0,0,0,47,77%,0,0%,0,0%,True,Dalvin Cook,False,33,34
2021.0,2021-09-26,3.0,3.0,,MIN,SEA,W 30-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dalvin Cook,True,30,17
2021.0,2021-10-03,4.0,4.0,26.054,MIN,CLE,L 7-14,True,9,34,3.78,0,6,2,10,5.00,0,33.3%,1.67,,0,0,0,0,0,0,0,0,33,49%,0,0%,0,0%,False,Dalvin Cook,False,7,14
2021.0,2021-10-10,5.0,5.0,,MIN,DET,W 19-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dalvin Cook,True,19,17
2021.0,2021-10-17,6.0,6.0,26.068,MIN,CAR,W 34-28,True,29,140,4.83,1,2,2,3,1.50,0,100.0%,1.50,,1,6,1,0,0,0,0,0,66,74%,0,0%,0,0%,True,Dalvin Cook,True,34,28
2021.0,2021-10-31,7.0,8.0,26.082,MIN,DAL,L 16-20,True,18,78,4.33,0,2,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,47,71%,0,0%,0,0%,False,Dalvin Cook,False,16,20
2021.0,2021-11-07,8.0,9.0,26.089,MIN,BAL,L 31-34,True,17,110,6.47,0,3,3,12,4.00,0,100.0%,4.00,,0,0,0,0,0,0,0,0,43,80%,0,0%,0,0%,True,Dalvin Cook,False,31,34
2021.0,2021-11-14,9.0,10.0,26.096,MIN,LAC,W 27-20,True,24,94,3.92,1,5,3,24,8.00,0,60.0%,4.80,,1,6,0,0,0,0,0,0,65,82%,0,0%,0,0%,True,Dalvin Cook,True,27,20
2021.0,2021-11-21,10.0,11.0,26.103,MIN,GNB,W 34-31,True,22,86,3.91,1,4,3,29,9.67,0,75.0%,7.25,1,1,8,0,0,0,0,0,0,53,76%,0,0%,0,0%,False,Dalvin Cook,True,34,31
2021.0,2021-11-28,11.0,12.0,26.11,MIN,SFO,L 26-34,True,10,39,3.90,0,7,6,64,10.67,0,85.7%,9.14,,0,0,1,1,0,0,0,0,29,53%,0,0%,0,0%,True,Dalvin Cook,False,26,34
2021.0,2021-12-05,12.0,13.0,,MIN,DET,L 27-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dalvin Cook,False,27,29
2021.0,2021-12-09,13.0,14.0,26.121,MIN,PIT,W 36-28,True,27,205,7.59,2,3,1,17,17.00,0,33.3%,5.67,,2,12,0,0,0,0,0,0,54,77%,0,0%,0,0%,False,Dalvin Cook,True,36,28
2021.0,2021-12-20,14.0,15.0,26.132,MIN,CHI,W 17-9,True,28,89,3.18,0,3,2,2,1.00,0,66.7%,0.67,,0,0,0,0,0,0,0,0,57,89%,0,0%,0,0%,True,Dalvin Cook,True,17,9
2021.0,2021-12-26,15.0,16.0,,MIN,LAR,L 23-30,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Dalvin Cook,False,23,30
2021.0,2022-01-02,16.0,17.0,26.145,MIN,GNB,L 10-37,True,9,13,1.44,0,3,3,0,0.00,0,100.0%,0.00,,0,0,0,0,0,0,0,0,29,54%,0,0%,0,0%,True,Dalvin Cook,False,10,37
2021.0,2022-01-09,17.0,18.0,26.152,MIN,CHI,W 31-17,True,14,79,5.64,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0,0,0,0,0,0,26,54%,0,0%,0,0%,False,Dalvin Cook,True,31,17
,56 Games,,,,,,29-26-1,False,1018,4820,4.73,39,231,182,1499,8.24,3,78.8%,6.49,4,42,260,15,10,0,2,0,0,,,,,,,False,Dalvin Cook,False,26,1
