Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-12-16,14.0,15.0,,CAR,SDG,W 31-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jonathan Stewart,True,31,7
2012.0,2012-12-23,15.0,16.0,,CAR,OAK,W 17-6,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jonathan Stewart,True,17,6
2012.0,2012-12-30,16.0,17.0,,CAR,NOR,W 44-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jonathan Stewart,True,44,38
2013.0,2013-09-08,1.0,1.0,,CAR,SEA,L 7-12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jonathan Stewart,False,7,12
2013.0,2013-09-08,1.0,1.0,,STL,ARI,W 27-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jonathan Stewart,True,27,24
2013.0,2013-09-15,2.0,2.0,,CAR,BUF,L 23-24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Jonathan Stewart,False,23,24
2013.0,2013-09-22,3.0,3.0,,CAR,NYG,W 38-0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jonathan Stewart,True,38,0
2013.0,2013-10-06,4.0,5.0,,CAR,ARI,L 6-22,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Jonathan Stewart,False,6,22
2013.0,2013-10-13,5.0,6.0,,CAR,MIN,W 35-10,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Jonathan Stewart,True,35,10
2013.0,2013-10-20,6.0,7.0,,CAR,STL,W 30-15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jonathan Stewart,True,30,15
2013.0,2013-10-24,7.0,8.0,,CAR,TAM,W 31-13,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Jonathan Stewart,True,31,13
2013.0,2013-11-03,8.0,9.0,26.227,CAR,ATL,W 34-10,False,9,43,4.78,0,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,0,0,0,0,0,0,18,24%,0,0%,0,0%,False,Jonathan Stewart,True,34,10
2013.0,2013-11-10,9.0,10.0,26.234,CAR,SFO,W 10-9,False,13,41,3.15,0,0,0,0,,0,0.0%,,0,0,,0,0,0,1,0,0,0,0,0,22,33%,0,0%,0,0%,True,Jonathan Stewart,True,10,9
2013.0,2013-11-18,10.0,11.0,26.242,CAR,NWE,W 24-20,False,4,10,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,13,23%,0,0%,0,0%,False,Jonathan Stewart,True,24,20
2013.0,2013-11-24,11.0,12.0,26.248,CAR,MIA,W 20-16,False,7,31,4.43,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0,0,0,0,0,0,20,28%,0,0%,0,0%,True,Jonathan Stewart,True,20,16
2013.0,2013-12-01,12.0,13.0,26.255,CAR,TAM,W 27-6,True,14,39,2.79,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,0,0,0,0,0,0,28,44%,0,0%,0,0%,False,Jonathan Stewart,True,27,6
2013.0,2013-12-08,13.0,14.0,26.262,CAR,NOR,L 13-31,False,1,16,16.00,0,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,0,0,0,0,0,0,7,11%,0,0%,0,0%,True,Jonathan Stewart,False,13,31
2013.0,2013-12-15,14.0,15.0,,CAR,NYJ,W 30-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jonathan Stewart,True,30,20
2013.0,2013-12-22,15.0,16.0,,CAR,NOR,W 17-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jonathan Stewart,True,17,13
2013.0,2013-12-29,16.0,17.0,,CAR,ATL,W 21-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jonathan Stewart,True,21,20
