Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-10-22,6.0,7.0,35.169,DAL,SFO,W 40-10,True,4,4,54,13.50,1,100.0%,13.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,63,84%,0,0%,6,25%,True,Jason Witten,True,40,10
2017.0,2017-10-29,7.0,8.0,35.176,DAL,WAS,W 33-19,True,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,9,27%,True,Jason Witten,True,33,19
2017.0,2017-11-05,8.0,9.0,35.183,DAL,KAN,W 28-17,True,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,4,16%,False,Jason Witten,True,28,17
2017.0,2017-11-12,9.0,10.0,35.19,DAL,ATL,L 7-27,True,7,7,59,8.43,0,100.0%,8.43,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,98%,0,0%,2,9%,True,Jason Witten,False,7,27
2017.0,2017-11-19,10.0,11.0,35.197,DAL,PHI,L 9-37,True,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,95%,0,0%,3,12%,False,Jason Witten,False,9,37
2017.0,2017-11-23,11.0,12.0,35.201,DAL,LAC,L 6-28,True,7,7,44,6.29,0,100.0%,6.29,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,100%,0,0%,0,0%,False,Jason Witten,False,6,28
2017.0,2017-11-30,12.0,13.0,35.208,DAL,WAS,W 38-14,True,5,1,8,8.00,1,20.0%,1.60,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,6,21%,False,Jason Witten,True,38,14
2017.0,2017-12-10,13.0,14.0,35.218,DAL,NYG,W 30-10,True,2,1,20,20.00,1,50.0%,10.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,63,100%,0,0%,7,23%,True,Jason Witten,True,30,10
2017.0,2017-12-17,14.0,15.0,35.225,DAL,OAK,W 20-17,True,5,4,47,11.75,0,80.0%,9.40,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,4,17%,True,Jason Witten,True,20,17
2017.0,2017-12-24,15.0,16.0,35.232,DAL,SEA,L 12-21,True,9,5,39,7.80,0,55.6%,4.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,74,100%,0,0%,6,22%,False,Jason Witten,False,12,21
