Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-11-10,9,10,23.109,CIN,,BAL,L 13-49,True,30,114,3.80,0,3,2,37,18.50,0,66.7%,12.33,0,0,0,0,0,0,0,0,55,75%,0,0%,0,0%,False,Joe Mixon
2019,2019-11-17,10,11,23.116,CIN,@,OAK,L 10-17,True,15,86,5.73,1,3,1,17,17.00,0,33.3%,5.67,1,6,0,0,0,0,0,0,37,62%,0,0%,0,0%,True,Joe Mixon
2019,2019-11-24,11,12,23.123,CIN,,PIT,L 10-16,False,18,79,4.39,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,39,68%,0,0%,0,0%,False,Joe Mixon
2019,2019-12-01,12,13,23.130,CIN,,NYJ,W 22-6,True,19,44,2.32,1,4,4,26,6.50,0,100.0%,6.50,1,6,0,0,0,0,0,0,52,80%,0,0%,0,0%,False,Joe Mixon
2019,2019-12-08,13,14,23.137,CIN,@,CLE,L 19-27,True,23,146,6.35,1,4,3,40,13.33,0,75.0%,10.00,1,6,0,0,0,0,0,0,43,59%,0,0%,0,0%,True,Joe Mixon
2019,2019-12-15,14,15,23.144,CIN,,NWE,L 13-34,True,25,136,5.44,0,3,3,20,6.67,0,100.0%,6.67,0,0,0,0,0,0,0,0,44,67%,0,0%,0,0%,False,Joe Mixon
2019,2019-12-22,15,16,23.151,CIN,@,MIA,L 35-38,True,21,50,2.38,0,2,2,23,11.50,0,100.0%,11.50,0,0,0,0,0,0,0,0,39,43%,0,0%,0,0%,True,Joe Mixon
2019,2019-12-29,16,17,23.158,CIN,,CLE,W 33-23,True,26,162,6.23,2,1,1,14,14.00,0,100.0%,14.00,2,12,0,0,0,0,0,0,51,74%,0,0%,0,0%,False,Joe Mixon
2020,2020-09-13,1,1,24.051,CIN,,LAC,L 13-16,True,19,69,3.63,0,2,1,2,2.00,0,50.0%,1.00,0,0,1,1,0,0,0,0,40,59%,0,0%,0,0%,False,Joe Mixon
2020,2020-09-17,2,2,24.055,CIN,@,CLE,L 30-35,True,16,46,2.88,0,4,4,40,10.00,0,100.0%,10.00,0,0,0,0,0,0,0,0,46,50%,0,0%,0,0%,True,Joe Mixon
2020,2020-09-27,3,3,24.065,CIN,@,PHI,T 23-23,True,17,49,2.88,0,3,2,16,8.00,0,66.7%,5.33,0,0,0,0,0,0,0,0,52,72%,0,0%,0,0%,True,Joe Mixon
2020,2020-10-04,4,4,24.072,CIN,,JAX,W 33-25,True,25,151,6.04,2,6,6,30,5.00,1,100.0%,5.00,3,18,0,0,0,0,0,0,62,83%,0,0%,0,0%,False,Joe Mixon
2020,2020-10-11,5,5,24.079,CIN,@,BAL,L 3-27,True,24,59,2.46,0,8,6,35,5.83,0,75.0%,4.38,0,0,0,0,0,0,0,0,51,76%,0,0%,0,0%,True,Joe Mixon
2020,2020-10-18,6,6,24.086,CIN,@,IND,L 27-31,True,18,54,3.00,1,3,2,15,7.50,0,66.7%,5.00,1,6,0,0,0,0,0,0,39,53%,0,0%,0,0%,True,Joe Mixon
2020,2020-10-25,7,7,,CIN,,CLE,L 34-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Joe Mixon
2020,2020-11-01,8,8,,CIN,,TEN,W 31-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Joe Mixon
2020,2020-11-15,9,10,,CIN,@,PIT,L 10-36,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Joe Mixon
2020,2020-11-22,10,11,,CIN,@,WAS,L 9-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Joe Mixon
2020,2020-11-29,11,12,,CIN,,NYG,L 17-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Joe Mixon
2020,2020-12-06,12,13,,CIN,@,MIA,L 7-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Joe Mixon
2020,2020-12-13,13,14,,CIN,,DAL,L 7-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Joe Mixon
2020,2020-12-21,14,15,,CIN,,PIT,W 27-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Joe Mixon
2020,2020-12-27,15,16,,CIN,@,HOU,W 37-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Joe Mixon
2020,2021-01-03,16,17,,CIN,,BAL,L 3-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Joe Mixon
2021,2021-09-12,1,1,25.050,CIN,,MIN,W 27-24,True,29,127,4.38,1,4,4,23,5.75,0,100.0%,5.75,1,6,0,0,0,0,0,0,54,78%,0,0%,0,0%,False,Joe Mixon
2021,2021-09-19,2,2,25.057,CIN,@,CHI,L 17-20,True,20,69,3.45,0,2,1,2,2.00,0,50.0%,1.00,0,0,0,0,0,0,0,0,46,84%,0,0%,0,0%,True,Joe Mixon
2021,2021-09-26,3,3,25.064,CIN,@,PIT,W 24-10,True,18,90,5.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,0,0,0,0,0,0,35,74%,0,0%,0,0%,True,Joe Mixon
2021,2021-09-30,4,4,25.068,CIN,,JAX,W 24-21,True,16,67,4.19,1,2,1,0,0.00,0,50.0%,0.00,1,6,0,0,0,0,0,0,40,69%,0,0%,0,0%,False,Joe Mixon
2021,2021-10-10,5,5,25.078,CIN,,GNB,L 22-25,True,10,33,3.30,1,1,1,2,2.00,0,100.0%,2.00,1,6,0,0,0,0,0,0,19,28%,0,0%,0,0%,False,Joe Mixon
2021,2021-10-17,6,6,25.085,CIN,@,DET,W 34-11,True,18,94,5.22,0,6,5,59,11.80,1,83.3%,9.83,1,6,1,0,0,1,0,0,45,63%,0,0%,0,0%,True,Joe Mixon
2021,2021-10-24,7,7,25.092,CIN,@,BAL,W 41-17,True,12,59,4.92,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,34,54%,0,0%,0,0%,True,Joe Mixon
2021,2021-10-31,8,8,25.099,CIN,@,NYJ,L 31-34,True,14,33,2.36,1,5,4,58,14.50,1,80.0%,11.60,2,12,0,0,0,0,0,0,42,76%,0,0%,0,0%,True,Joe Mixon
2021,2021-11-07,9,9,25.106,CIN,,CLE,L 16-41,True,13,64,4.92,2,5,5,46,9.20,0,100.0%,9.20,2,12,0,0,0,1,0,0,47,63%,0,0%,0,0%,False,Joe Mixon
2021,2021-11-21,10,11,25.120,CIN,@,LVR,W 32-13,True,30,123,4.10,2,0,0,0,,0,0.0%,,2,12,0,0,0,0,0,0,53,72%,0,0%,0,0%,True,Joe Mixon
2021,2021-11-28,11,12,25.127,CIN,,PIT,W 41-10,True,28,165,5.89,2,4,4,-2,-0.50,0,100.0%,-0.50,2,12,0,0,0,0,0,0,49,72%,0,0%,0,0%,False,Joe Mixon
2021,2021-12-05,12,13,25.134,CIN,,LAC,L 22-41,True,19,54,2.84,1,1,0,0,,0,0.0%,0.00,1,6,1,1,0,0,0,0,50,66%,0,0%,0,0%,False,Joe Mixon
2021,2021-12-12,13,14,25.141,CIN,,SFO,L 23-26,True,18,58,3.22,0,2,2,10,5.00,0,100.0%,5.00,0,0,0,0,0,0,0,0,40,60%,0,0%,0,0%,False,Joe Mixon
2021,2021-12-19,14,15,25.148,CIN,@,DEN,W 15-10,True,17,58,3.41,0,1,1,2,2.00,0,100.0%,2.00,0,0,0,0,0,0,0,0,31,58%,0,0%,0,0%,True,Joe Mixon
2021,2021-12-26,15,16,25.155,CIN,,BAL,W 41-21,True,18,65,3.61,1,6,6,70,11.67,1,100.0%,11.67,2,12,0,0,0,0,0,0,62,82%,0,0%,0,0%,False,Joe Mixon
2021,2022-01-02,16,17,25.162,CIN,,KAN,W 34-31,True,12,46,3.83,0,8,7,40,5.71,0,87.5%,5.00,0,0,0,0,0,0,0,0,50,71%,0,0%,0,0%,False,Joe Mixon
2021,2022-01-09,17,18,,CIN,@,CLE,L 16-21,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Joe Mixon
,66 Games,,,,,,,25-40-1,False,1104,4564,4.13,33,208,171,1322,7.73,8,82.2%,6.36,41,246,6,4,0,4,0,0,,,,,,,False,Joe Mixon
