Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-11-24,11.0,12.0,27.211,NYJ,OAK,W 34-3,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,190,47.50,0,0,0%,0,0%,12,40%,False,Lac Edwards,True,34,3
2019.0,2019-12-01,12.0,13.0,27.218,NYJ,CIN,L 6-22,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,6,249,41.50,0,0,0%,0,0%,9,33%,True,Lac Edwards,False,6,22
2019.0,2019-12-08,13.0,14.0,27.225,NYJ,MIA,W 22-21,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,3,125,41.67,0,0,0%,0,0%,8,27%,False,Lac Edwards,True,22,21
2019.0,2019-12-12,14.0,15.0,27.229,NYJ,BAL,L 21-42,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,204,51.00,0,0,0%,0,0%,7,23%,True,Lac Edwards,False,21,42
2019.0,2019-12-22,15.0,16.0,27.239,NYJ,PIT,W 16-10,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,6,275,45.83,0,0,0%,0,0%,11,39%,False,Lac Edwards,True,16,10
2019.0,2019-12-29,16.0,17.0,27.246,NYJ,BUF,W 13-6,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,214,42.80,0,0,0%,0,0%,10,40%,True,Lac Edwards,True,13,6
2021.0,2021-09-26,3.0,3.0,,DET,BAL,L 17-19,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Lac Edwards,False,17,19
2021.0,2021-10-31,8.0,8.0,29.187,CAR,ATL,W 19-13,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,175,43.75,0,0,0%,0,0%,9,35%,True,Lac Edwards,True,19,13
2021.0,2021-11-07,9.0,9.0,29.194,CAR,NWE,L 6-24,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,205,51.25,0,0,0%,0,0%,6,27%,False,Lac Edwards,False,6,24
2021.0,2021-11-14,10.0,10.0,29.201,CAR,ARI,W 34-10,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,3,153,51.00,0,0,0%,0,0%,9,36%,True,Lac Edwards,True,34,10
2021.0,2021-11-21,11.0,11.0,29.208,CAR,WAS,L 21-27,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,185,46.25,0,0,0%,0,0%,8,31%,False,Lac Edwards,False,21,27
2021.0,2021-11-28,12.0,12.0,29.215,CAR,MIA,L 10-33,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,261,52.20,1,0,0%,0,0%,9,32%,True,Lac Edwards,False,10,33
2021.0,2021-12-12,13.0,14.0,29.229,CAR,ATL,L 21-29,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,2,87,43.50,0,0,0%,0,0%,5,22%,False,Lac Edwards,False,21,29
2021.0,2021-12-19,14.0,15.0,29.236,CAR,BUF,L 14-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,182,45.50,0,0,0%,0,0%,4,18%,True,Lac Edwards,False,14,31
2021.0,2021-12-26,15.0,16.0,29.243,CAR,TAM,L 6-32,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,253,50.60,0,0,0%,0,0%,7,26%,False,Lac Edwards,False,6,32
2021.0,2022-01-02,16.0,17.0,29.25,CAR,NOR,L 10-18,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,235,47.00,0,0,0%,0,0%,8,30%,True,Lac Edwards,False,10,18
2021.0,2022-01-09,17.0,18.0,29.257,CAR,TAM,L 17-41,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,2,85,42.50,0,0,0%,0,0%,5,18%,True,Lac Edwards,False,17,41
,74 Games,,,,,,23-51-0,False,1,0,0.00,0,1,1,100.00,31,0,0,118.7,0,0,31.00,31.00,2,0,0,1,-29,0,376,17189,45.72,2,,,,,,,False,Lac Edwards,False,51,0
