Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2015,2015-10-26,7,7,27.132,ARI,BAL,True,6,4,62,15.50,0,66.7%,10.33,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,82%,0,0%,0,0%,False,True,26,18,Jermaine Gresham
2015,2015-11-01,8,8,27.138,ARI,CLE,True,4,2,19,9.50,0,50.0%,4.75,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,81%,0,0%,0,0%,True,True,34,20,Jermaine Gresham
2015,2015-11-15,9,10,27.152,ARI,SEA,True,3,2,26,13.00,1,66.7%,8.67,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,73,82%,0,0%,0,0%,True,True,39,32,Jermaine Gresham
2015,2015-11-22,10,11,27.159,ARI,CIN,True,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,69%,0,0%,0,0%,False,True,34,31,Jermaine Gresham
2015,2015-11-29,11,12,27.166,ARI,SFO,True,3,1,9,9.00,0,33.3%,3.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,81%,0,0%,0,0%,True,True,19,13,Jermaine Gresham
2015,2015-12-06,12,13,27.173,ARI,STL,True,1,1,13,13.00,0,100.0%,13.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,56%,0,0%,0,0%,True,True,27,3,Jermaine Gresham
2015,2015-12-10,13,14,,ARI,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,23,20,Jermaine Gresham
2015,2015-12-20,14,15,27.187,ARI,PHI,False,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,42%,0,0%,0,0%,True,True,40,17,Jermaine Gresham
2015,2015-12-27,15,16,27.194,ARI,GNB,False,2,1,7,7.00,0,50.0%,3.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,40%,0,0%,0,0%,False,True,38,8,Jermaine Gresham
2015,2016-01-03,16,17,27.201,ARI,SEA,True,3,2,36,18.00,0,66.7%,12.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,36%,0,0%,0,0%,False,False,6,36,Jermaine Gresham
2016,2016-09-11,1,1,28.087,ARI,NWE,True,4,4,41,10.25,0,100.0%,10.25,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,36%,0,0%,0,0%,False,False,21,23,Jermaine Gresham
