Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-11-17,10,11,33.045,SFO,@,NOR,L 20-23,True,9,6,56,9.33,1,66.7%,6.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,49,86%,0,0%,0,0%,True,Anquan Boldin
2013,2013-11-25,11,12,33.053,SFO,@,WAS,W 27-6,True,6,5,94,18.80,2,83.3%,15.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0,0,0,0,0,0,50,85%,0,0%,0,0%,True,Anquan Boldin
2013,2013-12-01,12,13,33.059,SFO,,STL,W 23-13,True,13,9,98,10.89,0,69.2%,7.54,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,51,76%,0,0%,1,4%,False,Anquan Boldin
2013,2013-12-08,13,14,33.066,SFO,,SEA,W 19-17,True,8,6,93,15.50,0,75.0%,11.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,57,84%,0,0%,0,0%,False,Anquan Boldin
2013,2013-12-15,14,15,33.073,SFO,@,TAM,W 33-14,True,8,3,43,14.33,0,37.5%,5.38,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,64,86%,0,0%,0,0%,True,Anquan Boldin
2013,2013-12-23,15,16,33.081,SFO,,ATL,W 34-24,True,7,6,72,12.00,1,85.7%,10.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,48,84%,0,0%,1,3%,False,Anquan Boldin
2013,2013-12-29,16,17,33.087,SFO,@,ARI,W 23-20,True,11,9,149,16.56,1,81.8%,13.55,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,51,86%,0,0%,0,0%,True,Anquan Boldin
2014,2014-09-07,1,1,33.339,SFO,@,DAL,W 28-17,True,9,8,99,12.38,0,88.9%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,49,84%,0,0%,2,8%,True,Anquan Boldin
2014,2014-09-14,2,2,33.346,SFO,,CHI,L 20-28,True,6,2,34,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,64,96%,0,0%,0,0%,False,Anquan Boldin
2014,2014-09-21,3,3,33.353,SFO,@,ARI,L 14-23,True,6,6,36,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,61,95%,0,0%,0,0%,True,Anquan Boldin
