Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-25,3,3,32.069,NWE,BUF,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,31,34,Deion Branch
2011,2011-10-02,4,4,32.076,NWE,OAK,True,4,1,4,4.00,1,25.0%,1.00,0,0,,0,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,31,19,Deion Branch
2011,2011-10-09,5,5,32.083,NWE,NYJ,True,8,7,74,10.57,1,87.5%,9.25,0,0,,0,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,30,21,Deion Branch
2011,2011-10-16,6,6,32.090,NWE,DAL,True,5,3,69,23.00,0,60.0%,13.80,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,20,16,Deion Branch
2011,2011-10-30,7,8,32.104,NWE,PIT,True,7,4,36,9.00,1,57.1%,5.14,0,0,,0,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,17,25,Deion Branch
2011,2011-11-06,8,9,32.111,NWE,NYG,True,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,20,24,Deion Branch
2011,2011-11-13,9,10,32.118,NWE,NYJ,True,9,5,58,11.60,1,55.6%,6.44,0,0,,0,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,37,16,Deion Branch
2011,2011-11-21,10,11,32.126,NWE,KAN,True,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,34,3,Deion Branch
2011,2011-11-27,11,12,32.132,NWE,PHI,True,10,6,125,20.83,0,60.0%,12.50,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,38,20,Deion Branch
2011,2011-12-04,12,13,32.139,NWE,IND,True,6,3,37,12.33,0,50.0%,6.17,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,31,24,Deion Branch
