Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-30,4.0,4.0,25.129,PHI,TEN,L 23-26,True,12,5,22,4.40,0,41.7%,1.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,72,92%,0,0%,0,0%,True,Nelson Agholor,False,23,26
2018.0,2018-10-07,5.0,5.0,25.136,PHI,MIN,L 21-23,True,4,4,45,11.25,0,100.0%,11.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,88%,0,0%,0,0%,False,Nelson Agholor,False,21,23
2018.0,2018-10-11,6.0,6.0,25.14,PHI,NYG,W 34-13,True,5,3,91,30.33,0,60.0%,18.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,64,90%,0,0%,0,0%,True,Nelson Agholor,True,34,13
2018.0,2018-10-21,7.0,7.0,25.15,PHI,CAR,L 17-21,True,7,6,20,3.33,0,85.7%,2.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,88%,0,0%,0,0%,False,Nelson Agholor,False,17,21
2018.0,2018-10-28,8.0,8.0,25.157,PHI,JAX,W 24-18,True,6,3,49,16.33,0,50.0%,8.17,1,14,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,57,92%,0,0%,0,0%,True,Nelson Agholor,True,24,18
2018.0,2018-11-11,9.0,10.0,25.171,PHI,DAL,L 20-27,True,7,5,83,16.60,0,71.4%,11.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,89%,0,0%,0,0%,False,Nelson Agholor,False,20,27
2018.0,2018-11-18,10.0,11.0,25.178,PHI,NOR,L 7-48,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,44,86%,0,0%,0,0%,True,Nelson Agholor,False,7,48
2018.0,2018-11-25,11.0,12.0,25.185,PHI,NYG,W 25-22,True,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,47,72%,0,0%,0,0%,False,Nelson Agholor,True,25,22
2018.0,2018-12-03,12.0,13.0,25.193,PHI,WAS,W 28-13,True,8,4,56,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,87%,0,0%,0,0%,False,Nelson Agholor,True,28,13
2018.0,2018-12-09,13.0,14.0,25.199,PHI,DAL,L 23-29,True,3,2,49,24.50,0,66.7%,16.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,49,94%,0,0%,0,0%,True,Nelson Agholor,False,23,29
2018.0,2018-12-16,14.0,15.0,25.206,PHI,LAR,W 30-23,True,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,63,98%,0,0%,0,0%,True,Nelson Agholor,True,30,23
