Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-10-25,6,7,,NOR,,CAR,W 27-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Michael Thomas
2020,2020-11-01,7,8,,NOR,@,CHI,W 26-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Michael Thomas
2020,2020-11-08,8,9,27.250,NOR,@,TAM,W 38-3,True,6,5,51,10.20,0,83.3%,8.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,55%,0,0%,0,0%,True,Michael Thomas
2020,2020-11-15,9,10,27.257,NOR,,SFO,W 27-13,True,7,2,27,13.50,0,28.6%,3.86,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,78%,0,0%,0,0%,False,Michael Thomas
2020,2020-11-22,10,11,27.264,NOR,,ATL,W 24-9,True,12,9,104,11.56,0,75.0%,8.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,85%,0,0%,0,0%,False,Michael Thomas
2020,2020-11-29,11,12,27.271,NOR,@,DEN,W 31-3,True,6,4,50,12.50,0,66.7%,8.33,1,1,1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,67%,0,0%,0,0%,True,Michael Thomas
2020,2020-12-06,12,13,27.278,NOR,@,ATL,W 21-16,False,11,9,105,11.67,0,81.8%,9.55,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,60%,0,0%,0,0%,True,Michael Thomas
2020,2020-12-13,13,14,27.285,NOR,@,PHI,L 21-24,False,8,8,84,10.50,0,100.0%,10.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,90%,0,0%,0,0%,True,Michael Thomas
2020,2020-12-20,14,15,,NOR,,KAN,L 29-32,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Michael Thomas
2020,2020-12-25,15,16,,NOR,,MIN,W 52-33,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Michael Thomas
