Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-09-24,3,3,27.311,IND,JAX,True,7,4,82,20.50,0,57.1%,11.71,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,21,14,Reggie Wayne
2006,2006-10-01,4,4,27.318,IND,NYJ,True,8,4,74,18.50,0,50.0%,9.25,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,31,28,Reggie Wayne
2006,2006-10-08,5,5,27.325,IND,TEN,True,8,3,24,8.00,1,37.5%,3.00,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,14,13,Reggie Wayne
2006,2006-10-22,6,7,27.339,IND,WAS,True,10,7,122,17.43,1,70.0%,12.20,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,36,22,Reggie Wayne
2006,2006-10-29,7,8,27.346,IND,DEN,True,11,10,138,13.80,3,90.9%,12.55,0,0,,0,0,0,,0,0,0,,,,,,1,3,20,0,,0,0,0,0,,,,,,,True,True,34,31,Reggie Wayne
2006,2006-11-05,8,9,27.353,IND,NWE,True,15,6,90,15.00,0,40.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,True,True,27,20,Reggie Wayne
2006,2006-11-12,9,10,27.360,IND,BUF,True,4,4,42,10.50,1,100.0%,10.50,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,17,16,Reggie Wayne
2006,2006-11-19,10,11,28.002,IND,DAL,True,10,7,111,15.86,1,70.0%,11.10,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,False,14,21,Reggie Wayne
2006,2006-11-26,11,12,28.009,IND,PHI,True,5,4,77,19.25,1,80.0%,15.40,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,45,21,Reggie Wayne
2006,2006-12-03,12,13,28.016,IND,TEN,True,4,3,57,19.00,0,75.0%,14.25,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,17,20,Reggie Wayne
2006,2006-12-10,13,14,28.023,IND,JAX,True,16,8,110,13.75,0,50.0%,6.88,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,17,44,Reggie Wayne
2006,2006-12-18,14,15,28.031,IND,CIN,True,8,7,84,12.00,1,87.5%,10.50,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,34,16,Reggie Wayne
2006,2006-12-24,15,16,28.037,IND,HOU,True,5,3,27,9.00,0,60.0%,5.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,24,27,Reggie Wayne
2006,2006-12-31,16,17,28.044,IND,MIA,True,9,6,70,11.67,0,66.7%,7.78,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,27,22,Reggie Wayne
2007,2007-09-06,1,1,28.293,IND,NOR,True,12,7,115,16.43,2,58.3%,9.58,0,0,,0,0,0,,0,0,0,,,,,,,2,12,1,1,0,0,0,0,,,,,,,False,True,41,10,Reggie Wayne
2007,2007-09-16,2,2,28.303,IND,TEN,True,8,5,70,14.00,0,62.5%,8.75,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,22,20,Reggie Wayne
2007,2007-09-23,3,3,28.310,IND,HOU,True,5,4,84,21.00,0,80.0%,16.80,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,1,0,0,,,,,,,True,True,30,24,Reggie Wayne
2007,2007-09-30,4,4,28.317,IND,DEN,True,6,5,38,7.60,1,83.3%,6.33,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,38,20,Reggie Wayne
2007,2007-10-07,5,5,28.324,IND,TAM,True,10,7,62,8.86,1,70.0%,6.20,1,4,4.00,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,33,14,Reggie Wayne
2007,2007-10-22,6,7,28.339,IND,JAX,True,13,9,131,14.56,0,69.2%,10.08,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,29,7,Reggie Wayne
2007,2007-10-28,7,8,28.345,IND,CAR,True,11,7,168,24.00,1,63.6%,15.27,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,True,31,7,Reggie Wayne
2007,2007-11-04,8,9,28.352,IND,NWE,True,8,5,62,12.40,0,62.5%,7.75,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,False,20,24,Reggie Wayne
2007,2007-11-11,9,10,28.359,IND,SDG,True,18,10,140,14.00,1,55.6%,7.78,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,False,21,23,Reggie Wayne
2007,2007-11-18,10,11,29.001,IND,KAN,True,6,4,75,18.75,0,66.7%,12.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,13,10,Reggie Wayne
