Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-11-05,8.0,9.0,26.103,DEN,PHI,L 23-51,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,31%,True,Brandon McManus,False,23,51
2017.0,2017-11-12,9.0,10.0,26.11,DEN,NWE,L 16-41,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,31%,False,Brandon McManus,False,16,41
2017.0,2017-11-19,10.0,11.0,26.117,DEN,CIN,L 17-20,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,29%,False,Brandon McManus,False,17,20
2017.0,2017-11-26,11.0,12.0,26.124,DEN,OAK,L 14-21,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,19%,True,Brandon McManus,False,14,21
2017.0,2017-12-03,12.0,13.0,26.131,DEN,MIA,L 9-35,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,12%,True,Brandon McManus,False,9,35
2017.0,2017-12-10,13.0,14.0,26.138,DEN,NYJ,W 23-0,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,46%,False,Brandon McManus,True,23,0
2017.0,2017-12-14,14.0,15.0,26.142,DEN,IND,W 25-13,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,41%,True,Brandon McManus,True,25,13
2017.0,2017-12-24,15.0,16.0,26.152,DEN,WAS,L 11-27,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,,,1,26,26.00,0,0,0%,0,0%,5,19%,True,Brandon McManus,False,11,27
2017.0,2017-12-31,16.0,17.0,26.159,DEN,KAN,L 24-27,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,32%,False,Brandon McManus,False,24,27
2018.0,2018-09-09,1.0,1.0,27.046,DEN,SEA,W 27-24,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,32%,False,Brandon McManus,True,27,24
2018.0,2018-09-16,2.0,2.0,27.053,DEN,OAK,W 20-19,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,35%,False,Brandon McManus,True,20,19
2018.0,2018-09-23,3.0,3.0,27.06,DEN,BAL,L 14-27,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,18%,True,Brandon McManus,False,14,27
2018.0,2018-10-01,4.0,4.0,27.068,DEN,KAN,L 23-27,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,36%,False,Brandon McManus,False,23,27
2018.0,2018-10-07,5.0,5.0,27.074,DEN,NYJ,L 16-34,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,22%,True,Brandon McManus,False,16,34
2018.0,2018-10-14,6.0,6.0,27.081,DEN,LAR,L 20-23,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,32%,False,Brandon McManus,False,20,23
2018.0,2018-10-18,7.0,7.0,27.085,DEN,ARI,W 45-10,False,0,0,,0,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,47%,True,Brandon McManus,True,45,10
2018.0,2018-10-28,8.0,8.0,27.095,DEN,KAN,L 23-30,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,9,31%,True,Brandon McManus,False,23,30
2018.0,2018-11-04,9.0,9.0,27.102,DEN,HOU,L 17-19,False,0,0,,0,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,32%,False,Brandon McManus,False,17,19
2018.0,2018-11-18,10.0,11.0,27.116,DEN,LAC,W 23-22,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,27%,True,Brandon McManus,True,23,22
2018.0,2018-11-25,11.0,12.0,27.123,DEN,PIT,W 24-17,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,33%,False,Brandon McManus,True,24,17
2018.0,2018-12-02,12.0,13.0,27.13,DEN,CIN,W 24-10,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,36%,True,Brandon McManus,True,24,10
2018.0,2018-12-09,13.0,14.0,27.137,DEN,SFO,L 14-20,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,19%,True,Brandon McManus,False,14,20
2018.0,2018-12-15,14.0,15.0,27.143,DEN,CLE,L 16-17,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,39%,False,Brandon McManus,False,16,17
2018.0,2018-12-24,15.0,16.0,27.152,DEN,OAK,L 14-27,False,0,0,,0,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,21%,True,Brandon McManus,False,14,27
2018.0,2018-12-30,16.0,17.0,27.158,DEN,LAC,L 9-23,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,17%,False,Brandon McManus,False,9,23
2019.0,2019-09-09,1.0,1.0,28.046,DEN,OAK,L 16-24,False,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,40%,True,Brandon McManus,False,16,24
2019.0,2019-09-15,2.0,2.0,28.052,DEN,CHI,L 14-16,False,0,0,,0,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,28%,False,Brandon McManus,False,14,16
2019.0,2019-09-22,3.0,3.0,28.059,DEN,GNB,L 16-27,False,0,0,,0,1,2,50.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,27%,True,Brandon McManus,False,16,27
2019.0,2019-09-29,4.0,4.0,28.066,DEN,JAX,L 24-26,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,26%,False,Brandon McManus,False,24,26
2019.0,2019-10-06,5.0,5.0,28.073,DEN,LAC,W 20-13,False,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,37%,True,Brandon McManus,True,20,13
2019.0,2019-10-13,6.0,6.0,28.08,DEN,TEN,W 16-0,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,33%,False,Brandon McManus,True,16,0
2019.0,2019-10-17,7.0,7.0,28.084,DEN,KAN,L 6-30,False,0,0,,0,,,,,1,0.0,0,0,0.0,0,0,0,0,0,0,0,,0,1,1%,0,0%,3,10%,False,Brandon McManus,False,6,30
2019.0,2019-10-27,8.0,8.0,28.094,DEN,IND,L 13-15,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,27%,True,Brandon McManus,False,13,15
