Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-11-22,10,11,26.062,GNB,SFO,True,7,5,126,25.20,1,71.4%,18.00,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,30,24,Greg Jennings
2009,2009-11-26,11,12,26.066,GNB,DET,True,6,4,53,13.25,0,66.7%,8.83,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,34,12,Greg Jennings
2009,2009-12-07,12,13,26.077,GNB,BAL,True,10,6,77,12.83,0,60.0%,7.70,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,27,14,Greg Jennings
2009,2009-12-13,13,14,26.083,GNB,CHI,False,5,3,56,18.67,0,60.0%,11.20,0,0,,0,0,0,,0,1,0,2,0,,0,0,0,0,,,,,,,True,True,21,14,Greg Jennings
2009,2009-12-20,14,15,26.090,GNB,PIT,True,11,5,118,23.60,1,45.5%,10.73,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,36,37,Greg Jennings
2009,2009-12-27,15,16,26.097,GNB,SEA,True,7,4,111,27.75,0,57.1%,15.86,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,48,10,Greg Jennings
2009,2010-01-03,16,17,26.104,GNB,ARI,True,6,3,29,9.67,0,50.0%,4.83,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,33,7,Greg Jennings
2010,2010-09-12,1,1,26.356,GNB,PHI,True,10,5,82,16.40,1,50.0%,8.20,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,27,20,Greg Jennings
2010,2010-09-19,2,2,26.363,GNB,BUF,True,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,34,7,Greg Jennings
2010,2010-09-27,3,3,27.006,GNB,CHI,True,6,2,18,9.00,1,33.3%,3.00,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,17,20,Greg Jennings
2010,2010-10-03,4,4,27.012,GNB,DET,True,5,2,25,12.50,1,40.0%,5.00,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,28,26,Greg Jennings
2010,2010-10-10,5,5,27.019,GNB,WAS,True,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,13,16,Greg Jennings
