Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-11,1,1,25.109,NYG,WAS,True,7,4,49,12.25,0,57.1%,7.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,14,28,Mario Manningham
2011,2011-09-19,2,2,25.117,NYG,STL,True,7,3,56,18.67,0,42.9%,8.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,28,16,Mario Manningham
2011,2011-09-25,3,3,,NYG,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,29,16,Mario Manningham
2011,2011-10-02,4,4,25.130,NYG,ARI,True,5,1,10,10.00,0,20.0%,2.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,31,27,Mario Manningham
2011,2011-10-09,5,5,25.137,NYG,SEA,True,9,5,56,11.20,0,55.6%,6.22,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,25,36,Mario Manningham
2011,2011-10-16,6,6,25.144,NYG,BUF,True,8,5,56,11.20,0,62.5%,7.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,27,24,Mario Manningham
2011,2011-10-30,7,8,25.158,NYG,MIA,True,9,6,63,10.50,1,66.7%,7.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,17,Mario Manningham
2011,2011-11-06,8,9,25.165,NYG,NWE,True,7,3,33,11.00,1,42.9%,4.71,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,24,20,Mario Manningham
2011,2011-11-13,9,10,25.172,NYG,SFO,True,10,6,77,12.83,1,60.0%,7.70,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,27,Mario Manningham
2011,2011-11-20,10,11,25.179,NYG,PHI,True,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,17,Mario Manningham
