Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-12-30,16,17,25.147,BUF,NYJ,True,24,59,2.46,0,7,2,72,36.00,1,28.6%,10.29,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,1,1,0,0,0,0,48,83%,0,0%,0,0%,False,True,28,9,C.J. Spiller
2013,2013-09-08,1,1,26.034,BUF,NWE,True,17,41,2.41,0,6,5,14,2.80,0,83.3%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,37,59%,0,0%,0,0%,False,False,21,23,C.J. Spiller
2013,2013-09-15,2,2,26.041,BUF,CAR,True,16,103,6.44,0,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,59%,0,0%,0,0%,False,True,24,23,C.J. Spiller
2013,2013-09-22,3,3,26.048,BUF,NYJ,True,10,9,0.90,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,2,0,0,1,0,0,19,22%,0,0%,0,0%,True,False,20,27,C.J. Spiller
2013,2013-09-29,4,4,26.055,BUF,BAL,True,23,77,3.35,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,37%,0,0%,0,0%,False,True,23,20,C.J. Spiller
2013,2013-10-03,5,5,26.059,BUF,CLE,False,8,66,8.25,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,13,17%,0,0%,0,0%,True,False,24,37,C.J. Spiller
2013,2013-10-13,6,6,26.069,BUF,CIN,False,10,55,5.50,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,25%,0,0%,0,0%,False,False,24,27,C.J. Spiller
2013,2013-10-20,7,7,26.076,BUF,MIA,False,6,11,1.83,0,3,3,-4,-1.33,0,100.0%,-1.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,21%,0,0%,0,0%,True,True,23,21,C.J. Spiller
2013,2013-10-27,8,8,,BUF,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,35,C.J. Spiller
2013,2013-11-03,9,9,26.090,BUF,KAN,False,12,116,9.67,0,3,2,39,19.50,0,66.7%,13.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,29%,0,0%,0,0%,False,False,13,23,C.J. Spiller
