Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
2006,2006-10-01,4,4,29.282,HOU,MIA,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,17,15,Kris Brown
2006,2006-10-15,5,6,29.296,HOU,DAL,False,0,0,,0,,,,2,2,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,6,34,Kris Brown
2006,2006-10-22,6,7,29.303,HOU,JAX,False,0,0,,0,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,27,7,Kris Brown
2006,2006-10-29,7,8,29.310,HOU,TEN,False,0,0,,0,1,2,50.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,22,28,Kris Brown
2006,2006-11-05,8,9,29.317,HOU,NYG,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,14,Kris Brown
2006,2006-11-12,9,10,29.324,HOU,JAX,False,0,0,,0,1,1,100.0,2,4,50.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,13,10,Kris Brown
2006,2006-11-19,10,11,29.331,HOU,BUF,False,0,0,,0,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,21,24,Kris Brown
2006,2006-11-26,11,12,29.338,HOU,NYJ,False,0,0,,0,,,,1,2,50.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,11,26,Kris Brown
2006,2006-12-03,12,13,29.345,HOU,OAK,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,23,14,Kris Brown
2006,2006-12-10,13,14,29.352,HOU,TEN,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,20,26,Kris Brown
2006,2006-12-17,14,15,29.359,HOU,NWE,False,0,0,,0,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,7,40,Kris Brown
2006,2006-12-24,15,16,30.001,HOU,IND,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,27,24,Kris Brown
2006,2006-12-31,16,17,30.008,HOU,CLE,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,True,14,6,Kris Brown
2007,2007-09-09,1,1,30.260,HOU,KAN,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,False,True,20,3,Kris Brown
2007,2007-09-16,2,2,30.267,HOU,CAR,False,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,True,True,34,21,Kris Brown
