Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2017-01-01,16,17,25.310,ARI,@,LAR,W 44-6,False,5,5,100.0,3,3,100.0,0,14,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,17,49%,True,Chandler Catanzaro
2017,2017-09-10,1,1,26.196,NYJ,@,BUF,L 12-21,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,23%,True,Chandler Catanzaro
2017,2017-09-17,2,2,26.203,NYJ,@,OAK,L 20-45,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,30%,True,Chandler Catanzaro
2017,2017-09-24,3,3,26.210,NYJ,,MIA,W 20-6,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,42%,False,Chandler Catanzaro
2017,2017-10-01,4,4,26.217,NYJ,,JAX,W 23-20,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,32%,False,Chandler Catanzaro
2017,2017-10-08,5,5,26.224,NYJ,@,CLE,W 17-14,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,29%,True,Chandler Catanzaro
2017,2017-10-15,6,6,26.231,NYJ,,NWE,L 17-24,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,28%,False,Chandler Catanzaro
2017,2017-10-22,7,7,26.238,NYJ,@,MIA,L 28-31,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,27%,True,Chandler Catanzaro
2017,2017-10-29,8,8,26.245,NYJ,,ATL,L 20-25,False,2,2,100.0,2,4,50.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,34%,False,Chandler Catanzaro
2017,2017-11-02,9,9,26.249,NYJ,,BUF,W 34-21,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,41%,False,Chandler Catanzaro
