Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-08,1.0,1.0,26.076,TEN,CLE,W 43-13,False,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,34%,0,0%,6,18%,True,Adam Humphries,True,43,13
2019.0,2019-09-15,2.0,2.0,26.083,TEN,IND,L 17-19,False,2,2,-1,-0.50,0,100.0%,-0.50,1,1,1.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,56%,0,0%,0,0%,False,Adam Humphries,False,17,19
2019.0,2019-09-19,3.0,3.0,26.087,TEN,JAX,L 7-20,True,9,6,93,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,68%,0,0%,3,11%,True,Adam Humphries,False,7,20
2019.0,2019-09-29,4.0,4.0,26.097,TEN,ATL,W 24-10,True,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,1,2,2.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,40%,0,0%,3,13%,True,Adam Humphries,True,24,10
2019.0,2019-10-06,5.0,5.0,26.104,TEN,BUF,L 7-14,False,6,4,30,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,2,2,1.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,32,55%,0,0%,7,28%,False,Adam Humphries,False,7,14
2019.0,2019-10-13,6.0,6.0,26.111,TEN,DEN,L 0-16,True,6,6,47,7.83,0,100.0%,7.83,0,0,,0,0,0,,0,3,19,6.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,61%,0,0%,8,30%,True,Adam Humphries,False,0,16
2019.0,2019-10-20,7.0,7.0,26.118,TEN,LAC,W 23-20,False,4,4,40,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,1,14,14.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,50%,0,0%,2,8%,False,Adam Humphries,True,23,20
2019.0,2019-10-27,8.0,8.0,26.125,TEN,TAM,W 27-23,False,6,3,24,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,46%,0,0%,3,10%,False,Adam Humphries,True,27,23
2019.0,2019-11-03,9.0,9.0,26.132,TEN,CAR,L 20-30,False,4,4,65,16.25,0,100.0%,16.25,0,0,,0,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,64%,0,0%,5,17%,True,Adam Humphries,False,20,30
2019.0,2019-11-10,10.0,10.0,26.139,TEN,KAN,W 35-32,False,1,1,23,23.00,1,100.0%,23.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,64%,0,0%,1,3%,False,Adam Humphries,True,35,32
2019.0,2019-11-24,11.0,12.0,26.153,TEN,JAX,W 42-20,False,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,2,22,11.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,23%,0,0%,7,24%,False,Adam Humphries,True,42,20
2019.0,2019-12-01,12.0,13.0,26.16,TEN,IND,W 31-17,False,2,1,13,13.00,1,50.0%,6.50,0,0,,0,0,0,,0,2,8,4.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,39%,0,0%,2,7%,True,Adam Humphries,True,31,17
2019.0,2019-12-08,13.0,14.0,,TEN,OAK,W 42-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Adam Humphries,True,42,21
2019.0,2019-12-15,14.0,15.0,,TEN,HOU,L 21-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Adam Humphries,False,21,24
2019.0,2019-12-22,15.0,16.0,,TEN,NOR,L 28-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Adam Humphries,False,28,38
