Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-12-18,14,15,25.276,MIN,,IND,L 6-34,False,0,0,,0,8,5,49,9.80,0,62.5%,6.13,0,0,,0,0,0,,0,0,,,4,124,31.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,76%,0,0%,9,38%,False,Cordarrelle Patterson
2016,2016-12-24,15,16,25.282,MIN,@,GNB,L 25-38,True,0,0,,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,58%,0,0%,12,35%,True,Cordarrelle Patterson
2016,2017-01-01,16,17,25.290,MIN,,CHI,W 38-10,False,0,0,,0,2,1,39,39.00,0,50.0%,19.50,0,0,,0,0,0,,0,0,,,1,35,35.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,38%,0,0%,4,18%,False,Cordarrelle Patterson
2017,2017-09-10,1,1,26.177,OAK,@,TEN,W 26-16,False,1,5,5.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,1,41,41.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,23,35%,0,0%,9,30%,True,Cordarrelle Patterson
2017,2017-09-17,2,2,26.184,OAK,,NYJ,W 45-20,False,3,57,19.00,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,3,70,23.33,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,27,47%,0,0%,8,27%,False,Cordarrelle Patterson
2017,2017-09-24,3,3,26.191,OAK,@,WAS,L 10-27,False,2,5,2.50,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,51%,0,0%,13,45%,True,Cordarrelle Patterson
2017,2017-10-01,4,4,26.198,OAK,@,DEN,L 10-16,False,1,2,2.00,0,6,6,33,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,,,2,70,35.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,33,61%,0,0%,11,39%,True,Cordarrelle Patterson
2017,2017-10-08,5,5,26.205,OAK,,BAL,L 17-30,False,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,1,31,31.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,34%,0,0%,11,41%,False,Cordarrelle Patterson
2017,2017-10-15,6,6,26.212,OAK,,LAC,L 16-17,False,3,55,18.33,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,1,39,39.00,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,17,29%,0,0%,8,36%,False,Cordarrelle Patterson
2017,2017-10-19,7,7,26.216,OAK,,KAN,W 31-30,False,0,0,,0,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,18,22%,0,0%,11,34%,False,Cordarrelle Patterson
2017,2017-10-29,8,8,26.226,OAK,@,BUF,L 14-34,True,0,0,,0,4,3,7,2.33,0,75.0%,1.75,0,0,,0,0,0,,0,0,,,1,43,43.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,57,88%,0,0%,11,41%,True,Cordarrelle Patterson
2017,2017-11-05,9,9,26.233,OAK,@,MIA,W 27-24,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,61,30.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,9%,0,0%,8,31%,True,Cordarrelle Patterson
