Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2010.0,2010-10-17,5.0,6.0,24.178,SEA,CHI,W 23-20,True,17,44,2.59,1,3,3,9,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,True,23,20
2010.0,2010-10-24,6.0,7.0,24.185,SEA,ARI,W 22-10,True,24,89,3.71,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,22,10
2010.0,2010-10-31,7.0,8.0,24.192,SEA,OAK,L 3-33,True,9,7,0.78,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,1,1,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,3,33
2010.0,2010-11-07,8.0,9.0,24.199,SEA,NYG,L 7-41,True,11,48,4.36,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,7,41
2010.0,2010-11-14,9.0,10.0,24.206,SEA,ARI,W 36-18,True,13,29,2.23,1,2,2,33,16.50,0,100.0%,16.50,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,True,36,18
2010.0,2010-11-21,10.0,11.0,24.213,SEA,NOR,L 19-34,True,7,36,5.14,0,6,4,19,4.75,0,66.7%,3.17,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,,,,,,,True,Marshawn Lynch,False,19,34
2010.0,2010-11-28,11.0,12.0,24.22,SEA,KAN,L 24-42,True,7,20,2.86,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,24,42
2010.0,2010-12-05,12.0,13.0,24.227,SEA,CAR,W 31-14,True,21,83,3.95,3,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,,3,18,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,31,14
2010.0,2010-12-12,13.0,14.0,24.234,SEA,SFO,L 21-40,True,10,29,2.90,0,8,7,37,5.29,0,87.5%,4.63,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,21,40
2010.0,2010-12-19,14.0,15.0,24.241,SEA,ATL,L 18-34,True,12,60,5.00,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,18,34
