Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-10-10,5,5,25.201,JAX,BUF,True,19,84,4.42,0,4,2,9,4.50,0,50.0%,2.25,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,36,26,Maurice Jones-Drew
2010,2010-10-18,6,6,25.209,JAX,TEN,True,17,57,3.35,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,3,30,Maurice Jones-Drew
2010,2010-10-24,7,7,25.215,JAX,KAN,True,16,47,2.94,0,6,5,74,14.80,1,83.3%,12.33,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,20,42,Maurice Jones-Drew
2010,2010-10-31,8,8,25.222,JAX,DAL,True,27,135,5.00,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,35,17,Maurice Jones-Drew
2010,2010-11-14,9,10,25.236,JAX,HOU,True,24,100,4.17,2,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,True,31,24,Maurice Jones-Drew
2010,2010-11-21,10,11,25.243,JAX,CLE,True,23,133,5.78,1,3,3,87,29.00,0,100.0%,29.00,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,1,6,1,1,0,0,0,0,,,,,,,False,True,24,20,Maurice Jones-Drew
2010,2010-11-28,11,12,25.250,JAX,NYG,True,21,113,5.38,0,4,4,9,2.25,0,100.0%,2.25,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,20,24,Maurice Jones-Drew
2010,2010-12-05,12,13,25.257,JAX,TEN,True,31,186,6.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,17,6,Maurice Jones-Drew
2010,2010-12-12,13,14,25.264,JAX,OAK,True,23,101,4.39,1,6,3,19,6.33,0,50.0%,3.17,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,38,31,Maurice Jones-Drew
2010,2010-12-19,14,15,25.271,JAX,IND,True,15,46,3.07,0,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,True,False,24,34,Maurice Jones-Drew
