Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-11-11,9.0,10.0,28.131,WAS,TAM,W 16-3,True,6,4,51,12.75,0,66.7%,8.50,0,0,,0,0,0,0,0,0,0,0,0,38,66%,0,0%,0,0%,True,Jordan Reed,True,16,3
2018.0,2018-11-18,10.0,11.0,28.138,WAS,HOU,L 21-23,True,11,7,71,10.14,1,63.6%,6.45,0,0,,0,1,6,0,0,0,0,0,0,50,67%,0,0%,0,0%,False,Jordan Reed,False,21,23
2018.0,2018-11-22,11.0,12.0,28.142,WAS,DAL,L 23-31,False,8,6,75,12.50,0,75.0%,9.38,0,0,,0,0,0,0,0,0,0,0,0,47,75%,0,0%,0,0%,True,Jordan Reed,False,23,31
2018.0,2018-12-03,12.0,13.0,28.153,WAS,PHI,L 13-28,True,5,4,21,5.25,0,80.0%,4.20,0,0,,0,0,0,0,0,0,0,0,0,31,69%,0,0%,0,0%,True,Jordan Reed,False,13,28
2018.0,2018-12-09,13.0,14.0,28.159,WAS,NYG,L 16-40,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,7,11%,0,0%,0,0%,False,Jordan Reed,False,16,40
2018.0,2018-12-16,14.0,15.0,,WAS,JAX,W 16-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jordan Reed,True,16,13
2018.0,2018-12-22,15.0,16.0,,WAS,TEN,L 16-25,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jordan Reed,False,16,25
2018.0,2018-12-30,16.0,17.0,,WAS,PHI,L 0-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Jordan Reed,False,0,24
2019.0,2019-09-08,1.0,1.0,,WAS,PHI,L 27-32,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jordan Reed,False,27,32
2019.0,2019-09-15,2.0,2.0,,WAS,DAL,L 21-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jordan Reed,False,21,31
