Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-10-26,8.0,8.0,25.168,CAR,SEA,L 9-13,True,12,22,54.55,171,0,1,61.0,3,19,7.77,5.73,12,24,2.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,1,-2,0,60,100%,0,0%,0,0%,False,Cam Newton,False,9,13
2014.0,2014-10-30,9.0,9.0,25.172,CAR,NOR,L 10-28,True,10,28,35.71,151,0,1,39.4,4,29,5.39,3.79,7,43,6.14,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,0,0,57,100%,0,0%,0,0%,False,Cam Newton,False,10,28
2014.0,2014-11-10,10.0,10.0,25.183,CAR,PHI,L 21-45,True,25,40,62.50,306,2,3,71.5,9,91,7.65,5.28,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,0,0,82,100%,0,0%,0,0%,True,Cam Newton,False,21,45
2014.0,2014-11-16,11.0,11.0,25.189,CAR,ATL,L 17-19,True,23,37,62.16,292,2,2,82.3,2,7,7.89,6.54,5,30,6.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,False,Cam Newton,False,17,19
2014.0,2014-11-30,12.0,13.0,25.203,CAR,MIN,L 13-31,True,18,35,51.43,194,1,1,65.7,4,24,5.54,4.83,9,49,5.44,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,True,Cam Newton,False,13,31
2014.0,2014-12-07,13.0,14.0,25.21,CAR,NOR,W 41-10,True,21,33,63.64,226,3,0,114.0,0,0,6.85,8.67,12,83,6.92,1,0,0,0,,0,0.0%,,,1,6,1,0,0,1,0,0,71,96%,0,0%,0,0%,True,Cam Newton,True,41,10
2014.0,2014-12-14,14.0,15.0,,CAR,TAM,W 19-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Cam Newton,True,19,17
2014.0,2014-12-21,15.0,16.0,25.224,CAR,CLE,W 17-13,True,18,31,58.06,201,1,1,74.8,1,6,6.48,5.68,12,63,5.25,1,0,0,0,,0,0.0%,,,1,6,1,0,0,0,0,0,79,100%,0,0%,0,0%,False,Cam Newton,True,17,13
2014.0,2014-12-28,16.0,17.0,25.231,CAR,ATL,W 34-3,True,10,16,62.50,114,1,0,104.7,1,2,7.13,8.38,6,51,8.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,53,100%,0,0%,0,0%,True,Cam Newton,True,34,3
2015.0,2015-09-13,1.0,1.0,26.125,CAR,JAX,W 20-9,True,18,31,58.06,175,1,1,71.3,2,17,5.65,4.84,14,35,2.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,Cam Newton,True,20,9
2015.0,2015-09-20,2.0,2.0,26.132,CAR,HOU,W 24-17,True,18,37,48.65,195,2,1,71.3,2,17,5.27,5.14,10,76,7.60,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,78,100%,0,0%,0,0%,False,Cam Newton,True,24,17
2015.0,2015-09-27,3.0,3.0,26.139,CAR,NOR,W 27-22,True,20,31,64.52,315,2,0,119.7,1,3,10.16,11.45,7,33,4.71,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,66,100%,0,0%,0,0%,False,Cam Newton,True,27,22
2015.0,2015-10-04,4.0,4.0,26.146,CAR,TAM,W 37-23,True,11,22,50.00,124,2,0,97.5,2,13,5.64,7.45,12,51,4.25,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,58,100%,0,0%,0,0%,True,Cam Newton,True,37,23
2015.0,2015-10-18,5.0,6.0,26.16,CAR,SEA,W 27-23,True,20,36,55.56,269,1,2,65.6,3,21,7.47,5.53,7,30,4.29,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,73,100%,0,0%,0,0%,True,Cam Newton,True,27,23
2015.0,2015-10-25,6.0,7.0,26.167,CAR,PHI,W 27-16,True,14,24,58.33,197,1,3,59.2,1,7,8.21,3.42,4,20,5.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,61,100%,0,0%,0,0%,False,Cam Newton,True,27,16
2015.0,2015-11-02,7.0,8.0,26.175,CAR,IND,W 29-26,True,16,35,45.71,248,2,1,76.8,2,9,7.09,6.94,10,41,4.10,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,-2,0,75,100%,0,0%,0,0%,False,Cam Newton,True,29,26
2015.0,2015-11-08,8.0,9.0,26.181,CAR,GNB,W 37-29,True,15,30,50.00,297,3,1,104.4,0,0,9.90,10.40,9,57,6.33,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Cam Newton,True,37,29
2015.0,2015-11-15,9.0,10.0,26.188,CAR,TEN,W 27-10,True,21,25,84.00,217,1,0,116.2,5,33,8.68,9.48,9,23,2.56,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,68,100%,0,0%,0,0%,True,Cam Newton,True,27,10
2015.0,2015-11-22,10.0,11.0,26.195,CAR,WAS,W 44-16,True,21,34,61.76,246,5,0,123.3,2,20,7.24,10.18,4,16,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,92%,0,0%,0,0%,False,Cam Newton,True,44,16
2015.0,2015-11-26,11.0,12.0,26.199,CAR,DAL,W 33-14,True,16,27,59.26,183,0,0,79.7,1,18,6.78,6.78,12,45,3.75,1,0,0,0,,0,0.0%,,,1,6,1,0,0,1,-2,0,69,100%,0,0%,0,0%,True,Cam Newton,True,33,14
2015.0,2015-12-06,12.0,13.0,26.209,CAR,NOR,W 41-38,True,28,41,68.29,331,5,1,122.1,1,9,8.07,9.41,10,49,4.90,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,81,100%,0,0%,0,0%,True,Cam Newton,True,41,38
2015.0,2015-12-13,13.0,14.0,26.216,CAR,ATL,W 38-0,True,15,21,71.43,265,3,0,153.3,2,19,12.62,15.48,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,48,74%,0,0%,0,0%,False,Cam Newton,True,38,0
