Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-11-19,10,11,28.052,SEA,,ARI,W 28-21,True,9,9,67,7.44,1,100.0%,7.44,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,74%,0,0%,0,0%,False,Tyler Lockett
2020,2020-11-30,11,12,28.063,SEA,@,PHI,W 23-17,True,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,90%,0,0%,0,0%,True,Tyler Lockett
2020,2020-12-06,12,13,28.069,SEA,,NYG,L 12-17,True,9,6,63,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,62,86%,0,0%,0,0%,False,Tyler Lockett
2020,2020-12-13,13,14,28.076,SEA,,NYJ,W 40-3,True,5,5,52,10.40,0,100.0%,10.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,64%,0,0%,0,0%,False,Tyler Lockett
2020,2020-12-20,14,15,28.083,SEA,@,WAS,W 20-15,True,7,4,34,8.50,0,57.1%,4.86,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,91%,0,0%,0,0%,True,Tyler Lockett
2020,2020-12-27,15,16,28.090,SEA,,LAR,W 20-9,True,5,3,44,14.67,0,60.0%,8.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,94%,0,0%,0,0%,False,Tyler Lockett
2020,2021-01-03,16,17,28.097,SEA,@,SFO,W 26-23,True,14,12,90,7.50,2,85.7%,6.43,0,0,,0,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,58,89%,0,0%,0,0%,True,Tyler Lockett
2021,2021-09-12,1,1,28.349,SEA,@,IND,W 28-16,True,5,4,100,25.00,2,80.0%,20.00,0,0,,0,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,46,85%,0,0%,1,4%,True,Tyler Lockett
2021,2021-09-19,2,2,28.356,SEA,,TEN,L 30-33,True,11,8,178,22.25,1,72.7%,16.18,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,93%,0,0%,0,0%,False,Tyler Lockett
2021,2021-09-26,3,3,28.363,SEA,@,MIN,L 17-30,True,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,92%,0,0%,0,0%,True,Tyler Lockett
