Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2010-12-13,13,14,25.267,MIN,,NYG,L 3-21,True,14,26,1.86,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2010,2010-12-20,14,15,,MIN,,CHI,L 14-40,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Adrian Peterson
2010,2010-12-28,15,16,25.282,MIN,@,PHI,W 24-14,True,22,118,5.36,1,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,True,Adrian Peterson
2010,2011-01-02,16,17,25.287,MIN,@,DET,L 13-20,True,14,31,2.21,0,2,2,-2,-1.00,0,100.0%,-1.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2011,2011-09-11,1,1,26.174,MIN,@,SDG,L 17-24,True,16,98,6.13,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2011,2011-09-18,2,2,26.181,MIN,,TAM,L 20-24,True,25,120,4.80,2,3,2,21,10.50,0,66.7%,7.00,0,0,,0,,2,12,1,0,0,0,0,0,,,,,,,False,Adrian Peterson
2011,2011-09-25,3,3,26.188,MIN,,DET,L 23-26,True,17,78,4.59,1,5,4,19,4.75,0,80.0%,3.80,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2011,2011-10-02,4,4,26.195,MIN,@,KAN,L 17-22,True,23,80,3.48,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,0,,0,1,0,0,,,,,,,True,Adrian Peterson
2011,2011-10-09,5,5,26.202,MIN,,ARI,W 34-10,True,29,122,4.21,3,0,0,0,,0,0.0%,,0,0,,0,,3,18,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2011,2011-10-16,6,6,26.209,MIN,@,CHI,L 10-39,True,12,39,3.25,1,1,1,0,0.00,0,100.0%,0.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2011,2011-10-23,7,7,26.216,MIN,,GNB,L 27-33,True,24,175,7.29,1,1,1,0,0.00,0,100.0%,0.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2011,2011-10-30,8,8,26.223,MIN,@,CAR,W 24-21,True,20,83,4.15,1,5,5,76,15.20,1,100.0%,15.20,0,0,,0,,2,12,0,,0,1,0,0,,,,,,,True,Adrian Peterson
2011,2011-11-14,9,10,26.238,MIN,@,GNB,L 7-45,True,14,51,3.64,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0,,0,1,0,0,,,,,,,True,Adrian Peterson
2011,2011-11-20,10,11,26.244,MIN,,OAK,L 21-27,True,6,26,4.33,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2011,2011-11-27,11,12,,MIN,@,ATL,L 14-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Adrian Peterson
2011,2011-12-04,12,13,,MIN,,DEN,L 32-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Adrian Peterson
