Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-12-06,12,13,24.018,ARI,,LAR,L 28-38,True,3,1,2,2.00,0,33.3%,0.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,60,94%,0,0%,1,3%,False,Christian Kirk
2020,2020-12-13,13,14,24.025,ARI,@,NYG,W 26-7,True,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,77,12.83,0,,0,0,0,0,0,0,0,0,66,84%,0,0%,8,28%,True,Christian Kirk
2020,2020-12-20,14,15,24.032,ARI,,PHI,W 33-26,False,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,2,0,0.00,0,,0,0,0,0,0,0,0,0,58,85%,0,0%,7,23%,False,Christian Kirk
2020,2020-12-26,15,16,24.038,ARI,,SFO,L 12-20,False,10,7,76,10.86,0,70.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,83%,0,0%,5,21%,False,Christian Kirk
2020,2021-01-03,16,17,,ARI,@,LAR,L 7-18,True,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,True,Christian Kirk
2021,2021-09-12,1,1,24.298,ARI,@,TEN,W 38-13,False,5,5,70,14.00,2,100.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,39,57%,0,0%,0,0%,True,Christian Kirk
2021,2021-09-19,2,2,24.305,ARI,,MIN,W 34-33,True,4,3,65,21.67,0,75.0%,16.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,38,62%,0,0%,0,0%,False,Christian Kirk
2021,2021-09-26,3,3,24.312,ARI,@,JAX,W 31-19,False,8,7,104,14.86,0,87.5%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,38,57%,0,0%,0,0%,True,Christian Kirk
2021,2021-10-03,4,4,24.319,ARI,@,LAR,W 37-20,True,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,56,72%,0,0%,0,0%,True,Christian Kirk
2021,2021-10-10,5,5,24.326,ARI,,SFO,W 17-10,True,5,5,39,7.80,0,100.0%,7.80,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,33,54%,0,0%,1,5%,False,Christian Kirk
