Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-09-09,1,1,26.000,PHI,WAS,True,6,2,14,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,80,100%,0,0%,0,0%,True,True,33,27,Riley Cooper
2013,2013-09-15,2,2,26.006,PHI,SDG,True,4,2,25,12.50,1,50.0%,6.25,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,95%,0,0%,0,0%,False,False,30,33,Riley Cooper
2013,2013-09-19,3,3,26.010,PHI,KAN,True,7,2,29,14.50,0,28.6%,4.14,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,95%,0,0%,0,0%,False,False,16,26,Riley Cooper
2013,2013-09-29,4,4,26.020,PHI,DEN,True,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,83%,0,0%,0,0%,True,False,20,52,Riley Cooper
2013,2013-10-06,5,5,26.027,PHI,NYG,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,77%,0,0%,0,0%,True,True,36,21,Riley Cooper
2013,2013-10-13,6,6,26.034,PHI,TAM,True,6,4,120,30.00,1,66.7%,20.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,82%,0,0%,0,0%,True,True,31,20,Riley Cooper
2013,2013-10-20,7,7,26.041,PHI,DAL,True,7,6,88,14.67,0,85.7%,12.57,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,84%,0,0%,0,0%,False,False,3,17,Riley Cooper
2013,2013-10-27,8,8,26.048,PHI,NYG,True,5,2,13,6.50,0,40.0%,2.60,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,87%,0,0%,1,4%,False,False,7,15,Riley Cooper
2013,2013-11-03,9,9,26.055,PHI,OAK,True,6,5,139,27.80,3,83.3%,23.17,0,18,,0,0,0,,0,,3,18,0.0,0,0,0,,,0,0,0,0,0,0,36,61%,0,0%,0,0%,True,True,49,20,Riley Cooper
2013,2013-11-10,10,10,26.062,PHI,GNB,True,5,3,102,34.00,2,60.0%,20.40,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,56,92%,0,0%,0,0%,True,True,27,13,Riley Cooper
2013,2013-11-17,11,11,26.069,PHI,WAS,True,7,3,37,12.33,0,42.9%,5.29,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,92%,0,0%,0,0%,False,True,24,16,Riley Cooper
2013,2013-12-01,12,13,26.083,PHI,ARI,True,6,3,48,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,77,100%,0,0%,0,0%,False,True,24,21,Riley Cooper
2013,2013-12-08,13,14,26.090,PHI,DET,True,9,3,74,24.67,0,33.3%,8.22,0,0,,0,0,0,,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,74,99%,0,0%,0,0%,False,True,34,20,Riley Cooper
2013,2013-12-15,14,15,26.097,PHI,MIN,True,7,4,29,7.25,0,57.1%,4.14,0,0,,0,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,61,88%,0,0%,0,0%,True,False,30,48,Riley Cooper
2013,2013-12-22,15,16,26.104,PHI,CHI,False,3,3,53,17.67,1,100.0%,17.67,0,0,,0,1,-4,-4.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,86%,0,0%,1,3%,False,True,54,11,Riley Cooper
2013,2013-12-29,16,17,26.111,PHI,DAL,True,3,3,39,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,97%,0,0%,0,0%,True,True,24,22,Riley Cooper
2014,2014-09-07,1,1,26.363,PHI,JAX,True,8,4,29,7.25,0,50.0%,3.63,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,78,90%,0,0%,0,0%,False,True,34,17,Riley Cooper
2014,2014-09-15,2,2,27.006,PHI,IND,True,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,88%,0,0%,0,0%,True,True,30,27,Riley Cooper
2014,2014-09-21,3,3,27.012,PHI,WAS,True,7,4,34,8.50,0,57.1%,4.86,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,92%,0,0%,0,0%,False,True,37,34,Riley Cooper
2014,2014-09-28,4,4,27.019,PHI,SFO,True,8,6,54,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,56,93%,0,0%,0,0%,True,False,21,26,Riley Cooper
2014,2014-10-05,5,5,27.026,PHI,STL,True,5,4,33,8.25,1,80.0%,6.60,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,68,93%,0,0%,0,0%,False,True,34,28,Riley Cooper
2014,2014-10-12,6,6,27.033,PHI,NYG,True,7,5,59,11.80,0,71.4%,8.43,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,71%,0,0%,0,0%,False,True,27,0,Riley Cooper
2014,2014-10-26,7,8,27.047,PHI,ARI,True,9,5,88,17.60,0,55.6%,9.78,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,78%,0,0%,1,3%,True,False,20,24,Riley Cooper
2014,2014-11-02,8,9,27.054,PHI,HOU,True,6,2,26,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,83%,0,0%,0,0%,True,True,31,21,Riley Cooper
2014,2014-11-10,9,10,27.062,PHI,CAR,True,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,76%,0,0%,0,0%,False,True,45,21,Riley Cooper
2014,2014-11-16,10,11,27.068,PHI,GNB,True,6,4,39,9.75,0,66.7%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,81%,0,0%,0,0%,True,False,20,53,Riley Cooper
2014,2014-11-23,11,12,27.075,PHI,TEN,True,6,3,49,16.33,0,50.0%,8.17,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,67%,0,0%,0,0%,False,True,43,24,Riley Cooper
2014,2014-11-27,12,13,27.079,PHI,DAL,True,7,4,32,8.00,0,57.1%,4.57,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,75%,0,0%,0,0%,True,True,33,10,Riley Cooper
2014,2014-12-07,13,14,27.089,PHI,SEA,True,5,3,13,4.33,0,60.0%,2.60,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,76%,0,0%,0,0%,False,False,14,24,Riley Cooper
2014,2014-12-14,14,15,27.096,PHI,DAL,True,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,82%,0,0%,0,0%,False,False,27,38,Riley Cooper
2014,2014-12-20,15,16,27.102,PHI,WAS,True,7,5,53,10.60,2,71.4%,7.57,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,75,83%,0,0%,0,0%,True,False,24,27,Riley Cooper
2014,2014-12-28,16,17,27.110,PHI,NYG,True,3,2,37,18.50,0,66.7%,12.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,75%,0,0%,0,0%,True,True,34,26,Riley Cooper
2015,2015-09-14,1,1,28.005,PHI,ATL,True,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,58%,0,0%,12,38%,True,False,24,26,Riley Cooper
2015,2015-09-20,2,2,28.011,PHI,DAL,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,35,56%,0,0%,11,42%,False,False,10,20,Riley Cooper
2015,2015-09-27,3,3,28.018,PHI,NYJ,True,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,43%,0,0%,13,39%,True,True,24,17,Riley Cooper
2015,2015-10-04,4,4,28.025,PHI,WAS,True,3,2,72,36.00,1,66.7%,24.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,36,64%,0,0%,12,40%,True,False,20,23,Riley Cooper
2015,2015-10-11,5,5,28.032,PHI,NOR,True,8,3,32,10.67,0,37.5%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,56%,0,0%,4,13%,False,True,39,17,Riley Cooper
2015,2015-10-19,6,6,28.040,PHI,NYG,True,6,3,76,25.33,1,50.0%,12.67,0,0,,0,1,12,12.00,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,38,48%,0,0%,7,26%,False,True,27,7,Riley Cooper
2015,2015-10-25,7,7,28.046,PHI,CAR,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,28%,0,0%,11,37%,True,False,16,27,Riley Cooper
2015,2015-11-08,8,9,28.060,PHI,DAL,True,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,12%,0,0%,12,36%,True,True,33,27,Riley Cooper
2015,2015-11-15,9,10,28.067,PHI,MIA,True,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,54%,0,0%,13,39%,False,False,19,20,Riley Cooper
2015,2015-11-22,10,11,28.074,PHI,TAM,False,3,2,42,21.00,0,66.7%,14.00,0,0,,0,1,16,16.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,44%,0,0%,15,47%,False,False,17,45,Riley Cooper
2015,2015-11-26,11,12,28.078,PHI,DET,True,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,33,56%,0,0%,14,45%,True,False,14,45,Riley Cooper
2015,2015-12-06,12,13,28.088,PHI,NWE,False,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,56%,0,0%,13,37%,True,True,35,28,Riley Cooper
2015,2015-12-13,13,14,28.095,PHI,BUF,True,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,31,40%,0,0%,12,35%,False,True,23,20,Riley Cooper
2015,2015-12-20,14,15,28.102,PHI,ARI,True,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,70%,0,0%,11,38%,False,False,17,40,Riley Cooper
2015,2015-12-26,15,16,28.108,PHI,WAS,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,53%,0,0%,15,43%,False,False,24,38,Riley Cooper
2015,2016-01-03,16,17,28.116,PHI,NYG,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,62%,0,0%,10,33%,True,True,35,30,Riley Cooper
,88 Games,,,,,,False,320,169,2418,14.31,18,52.8%,7.56,0,18,,0,5,63,12.60,0,2,18,112,0.0,14,1,15,0,0,1,1,1,0,0,0,,,,,,,False,False,45,0,Riley Cooper
