Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2011-01-02,16,17,,ARI,SFO,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,7,38,Early Doucet
2011,2011-09-11,1,1,25.318,ARI,CAR,False,3,3,105,35.00,1,100.0%,35.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,28,21,Early Doucet
2011,2011-09-18,2,2,25.325,ARI,WAS,True,6,2,20,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,21,22,Early Doucet
2011,2011-09-25,3,3,25.332,ARI,SEA,True,6,5,50,10.00,0,83.3%,8.33,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,10,13,Early Doucet
2011,2011-10-02,4,4,25.339,ARI,NYG,False,6,3,42,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,1,1,2,0,0,0,,0,0,0,0,,,,,,,False,False,27,31,Early Doucet
2011,2011-10-09,5,5,25.346,ARI,MIN,True,16,8,92,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,34,Early Doucet
2011,2011-10-23,6,7,25.360,ARI,PIT,False,5,5,30,6.00,1,100.0%,6.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,32,Early Doucet
2011,2011-10-30,7,8,26.002,ARI,BAL,True,6,2,20,10.00,1,33.3%,3.33,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,27,30,Early Doucet
2011,2011-11-06,8,9,26.009,ARI,STL,False,6,6,78,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,True,19,13,Early Doucet
2011,2011-11-13,9,10,26.016,ARI,PHI,False,4,2,24,12.00,1,50.0%,6.00,0,0,,0,0,0,,0,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,21,17,Early Doucet
2011,2011-11-20,10,11,26.023,ARI,SFO,False,10,6,50,8.33,0,60.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,23,Early Doucet
2011,2011-11-27,11,12,26.030,ARI,STL,True,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,23,20,Early Doucet
2011,2011-12-04,12,13,26.037,ARI,DAL,False,6,2,0,0.00,0,33.3%,0.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,19,13,Early Doucet
2011,2011-12-11,13,14,26.044,ARI,SFO,True,4,3,73,24.33,1,75.0%,18.25,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,21,19,Early Doucet
2011,2011-12-18,14,15,26.051,ARI,CLE,False,9,3,37,12.33,0,33.3%,4.11,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,False,True,20,17,Early Doucet
2011,2011-12-24,15,16,26.057,ARI,CIN,False,6,2,47,23.50,0,33.3%,7.83,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,16,23,Early Doucet
2011,2012-01-01,16,17,26.065,ARI,SEA,False,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,20,Early Doucet
