Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-21,3.0,3.0,28.002,TEN,CIN,L 7-33,False,1,1,100.0,,2,0.0,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,19%,True,Ryan Succop,False,7,33
2014.0,2014-09-28,4.0,4.0,28.009,TEN,IND,L 17-41,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,22%,True,Ryan Succop,False,17,41
2014.0,2014-10-05,5.0,5.0,28.016,TEN,CLE,L 28-29,False,4,4,100.0,,,,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,30%,False,Ryan Succop,False,28,29
2014.0,2014-10-12,6.0,6.0,28.023,TEN,JAX,W 16-14,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,35%,False,Ryan Succop,True,16,14
2014.0,2014-10-19,7.0,7.0,28.03,TEN,WAS,L 17-19,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,30%,True,Ryan Succop,False,17,19
2014.0,2014-10-26,8.0,8.0,28.037,TEN,HOU,L 16-30,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,19%,False,Ryan Succop,False,16,30
2014.0,2014-11-09,9.0,10.0,28.051,TEN,BAL,L 7-21,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,11%,True,Ryan Succop,False,7,21
2014.0,2014-11-17,10.0,11.0,28.059,TEN,PIT,L 24-27,False,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,9,35%,False,Ryan Succop,False,24,27
2014.0,2014-11-23,11.0,12.0,28.065,TEN,PHI,L 24-43,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,24%,True,Ryan Succop,False,24,43
2014.0,2014-11-30,12.0,13.0,28.072,TEN,HOU,L 21-45,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,23%,True,Ryan Succop,False,21,45
2014.0,2014-12-07,13.0,14.0,28.079,TEN,NYG,L 7-36,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,13%,False,Ryan Succop,False,7,36
2014.0,2014-12-14,14.0,15.0,28.086,TEN,NYJ,L 11-16,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,24%,False,Ryan Succop,False,11,16
2014.0,2014-12-18,15.0,16.0,28.09,TEN,JAX,L 13-21,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,27%,True,Ryan Succop,False,13,21
2014.0,2014-12-28,16.0,17.0,28.1,TEN,IND,L 10-27,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,17%,False,Ryan Succop,False,10,27
2015.0,2015-09-13,1.0,1.0,28.359,TEN,TAM,W 42-14,False,6,6,100.0,,,,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,50%,True,Ryan Succop,True,42,14
2015.0,2015-09-20,2.0,2.0,29.001,TEN,CLE,L 14-28,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,19%,True,Ryan Succop,False,14,28
2015.0,2015-09-27,3.0,3.0,29.008,TEN,IND,L 33-35,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,35%,False,Ryan Succop,False,33,35
