Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-29,4.0,4.0,25.349,OAK,IND,W 31-24,False,4,17,4.25,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,28%,0,0%,0,0%,True,Jalen Richard,True,31,24
2019.0,2019-10-06,5.0,5.0,25.356,OAK,CHI,W 24-21,False,2,14,7.00,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,15%,0,0%,0,0%,False,Jalen Richard,True,24,21
2019.0,2019-10-20,6.0,7.0,26.005,OAK,GNB,L 24-42,False,2,2,1.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,23%,0,0%,0,0%,True,Jalen Richard,False,24,42
2019.0,2019-10-27,7.0,8.0,26.012,OAK,HOU,L 24-27,False,1,3,3.00,0,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,31%,0,0%,0,0%,True,Jalen Richard,False,24,27
2019.0,2019-11-03,8.0,9.0,26.019,OAK,DET,W 31-24,False,2,12,6.00,0,4,3,56,18.67,0,75.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,31%,0,0%,0,0%,False,Jalen Richard,True,31,24
2019.0,2019-11-07,9.0,10.0,26.023,OAK,LAC,W 26-24,False,2,0,0.00,0,4,4,43,10.75,0,100.0%,10.75,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,38%,0,0%,0,0%,False,Jalen Richard,True,26,24
2019.0,2019-11-17,10.0,11.0,26.033,OAK,CIN,W 17-10,False,2,0,0.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,24%,0,0%,0,0%,False,Jalen Richard,True,17,10
2019.0,2019-11-24,11.0,12.0,26.04,OAK,NYJ,L 3-34,False,2,4,2.00,0,7,6,47,7.83,0,85.7%,6.71,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,40%,0,0%,0,0%,True,Jalen Richard,False,3,34
2019.0,2019-12-01,12.0,13.0,26.047,OAK,KAN,L 9-40,False,1,2,2.00,0,2,1,6,6.00,0,50.0%,3.00,3,60,20.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,19%,0,0%,5,22%,True,Jalen Richard,False,9,40
2019.0,2019-12-08,13.0,14.0,26.054,OAK,TEN,L 21-42,False,7,28,4.00,0,3,2,18,9.00,0,66.7%,6.00,4,91,22.75,0,1,12,12.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,39%,0,0%,9,32%,False,Jalen Richard,False,21,42
