Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-12-25,15,16,25.153,NOR,,MIN,W 52-33,True,22,155,7.05,6,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,6,36,0,0,0,0,0,0,45,60%,0,0%,1,3%,False,Alvin Kamara
2020,2021-01-03,16,17,,NOR,@,CAR,W 33-7,True,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,True,Alvin Kamara
2021,2021-09-12,1,1,26.049,NOR,,GNB,W 38-3,True,20,83,4.15,0,4,3,8,2.67,1,75.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,45,73%,0,0%,0,0%,False,Alvin Kamara
2021,2021-09-19,2,2,26.056,NOR,@,CAR,L 7-26,True,8,5,0.63,0,6,4,25,6.25,0,66.7%,4.17,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,37,84%,0,0%,0,0%,True,Alvin Kamara
2021,2021-09-26,3,3,26.063,NOR,@,NWE,W 28-13,True,24,89,3.71,0,4,3,29,9.67,1,75.0%,7.25,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,52,84%,0,0%,0,0%,True,Alvin Kamara
2021,2021-10-03,4,4,26.070,NOR,,NYG,L 21-27,True,26,120,4.62,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,False,Alvin Kamara
2021,2021-10-10,5,5,26.077,NOR,@,WAS,W 33-22,True,16,71,4.44,1,8,5,51,10.20,1,62.5%,6.38,0,0,,0,0,0,,0,0,,,0,0,,0,3,29,9.67,0,,2,12,0,0,0,0,0,0,49,88%,0,0%,3,10%,True,Alvin Kamara
2021,2021-10-25,6,7,26.092,NOR,@,SEA,W 13-10,True,20,51,2.55,0,11,10,128,12.80,1,90.9%,11.64,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,61,82%,0,0%,0,0%,True,Alvin Kamara
2021,2021-10-31,7,8,26.098,NOR,,TAM,W 36-27,True,19,61,3.21,1,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,51,67%,0,0%,0,0%,False,Alvin Kamara
2021,2021-11-07,8,9,26.105,NOR,,ATL,L 25-27,False,13,50,3.85,1,7,4,54,13.50,0,57.1%,7.71,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,52,68%,0,0%,0,0%,False,Alvin Kamara
2021,2021-11-14,9,10,,NOR,@,TEN,L 21-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Alvin Kamara
2021,2021-11-21,10,11,,NOR,@,PHI,L 29-40,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Alvin Kamara
2021,2021-11-25,11,12,,NOR,,BUF,L 6-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Alvin Kamara
2021,2021-12-02,12,13,,NOR,,DAL,L 17-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Alvin Kamara
2021,2021-12-12,13,14,26.140,NOR,@,NYJ,W 30-9,False,27,120,4.44,1,5,4,25,6.25,0,80.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,52,74%,0,0%,1,3%,True,Alvin Kamara
