Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-11-10,9,10,26.347,CLE,,BUF,W 19-16,True,10,9,97,10.78,1,90.0%,9.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,93%,0,0%,0,0%,False,Jarvis Landry
2019,2019-11-14,10,11,26.351,CLE,,PIT,W 21-7,True,7,4,43,10.75,1,57.1%,6.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,91%,0,0%,0,0%,False,Jarvis Landry
2019,2019-11-24,11,12,26.361,CLE,,MIA,W 41-24,True,13,10,148,14.80,2,76.9%,11.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,70,93%,0,0%,0,0%,False,Jarvis Landry
2019,2019-12-01,12,13,27.003,CLE,@,PIT,L 13-20,True,11,6,76,12.67,0,54.5%,6.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,97%,0,0%,0,0%,True,Jarvis Landry
2019,2019-12-08,13,14,27.010,CLE,,CIN,W 27-19,True,7,4,76,19.00,0,57.1%,10.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,89%,0,0%,0,0%,False,Jarvis Landry
2019,2019-12-15,14,15,27.017,CLE,@,ARI,L 24-38,True,8,5,23,4.60,0,62.5%,2.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,True,Jarvis Landry
2019,2019-12-22,15,16,27.024,CLE,,BAL,L 15-31,True,9,7,74,10.57,0,77.8%,8.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,83%,0,0%,0,0%,False,Jarvis Landry
2019,2019-12-29,16,17,27.031,CLE,@,CIN,L 23-33,True,6,2,82,41.00,1,33.3%,13.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,True,Jarvis Landry
2020,2020-09-13,1,1,27.290,CLE,@,BAL,L 6-38,True,6,5,61,12.20,0,83.3%,10.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,71%,0,0%,0,0%,True,Jarvis Landry
2020,2020-09-17,2,2,27.294,CLE,,CIN,W 35-30,True,3,3,46,15.33,0,100.0%,15.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,60%,0,0%,0,0%,False,Jarvis Landry
