Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-10-03,4,4,24.296,OAK,HOU,True,13,11,122,11.09,1,84.6%,9.38,1,6,0,,0,0,0,0,,,,,,,False,False,24,31,Zach Miller
2010,2010-10-10,5,5,24.303,OAK,SDG,True,8,6,62,10.33,1,75.0%,7.75,1,6,1,0,0,0,0,0,,,,,,,False,True,35,27,Zach Miller
2010,2010-10-17,6,6,24.310,OAK,SFO,True,4,2,48,24.00,0,50.0%,12.00,0,0,0,,0,0,0,0,,,,,,,True,False,9,17,Zach Miller
2010,2010-10-24,7,7,24.317,OAK,DEN,True,6,3,65,21.67,1,50.0%,10.83,1,6,0,,0,0,0,0,,,,,,,True,True,59,14,Zach Miller
2010,2010-10-31,8,8,24.324,OAK,SEA,True,2,1,8,8.00,0,50.0%,4.00,0,0,0,,0,0,0,0,,,,,,,False,True,33,3,Zach Miller
2010,2010-11-07,9,9,,OAK,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,23,20,Zach Miller
2010,2010-11-21,10,11,24.345,OAK,PIT,True,7,2,9,4.50,0,28.6%,1.29,0,0,0,,0,0,0,0,,,,,,,True,False,3,35,Zach Miller
2010,2010-11-28,11,12,24.352,OAK,MIA,True,1,1,6,6.00,0,100.0%,6.00,0,0,0,,0,0,0,0,,,,,,,False,False,17,33,Zach Miller
2010,2010-12-05,12,13,24.359,OAK,SDG,True,1,1,5,5.00,0,100.0%,5.00,0,0,0,,0,0,0,0,,,,,,,True,True,28,13,Zach Miller
2010,2010-12-12,13,14,25.001,OAK,JAX,True,5,4,68,17.00,0,80.0%,13.60,0,0,0,,0,0,0,0,,,,,,,True,False,31,38,Zach Miller
