Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-11-09,10,10,26.001,NYJ,PIT,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,12,12.00,0,2,16,8.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,32%,0,0%,4,15%,False,True,20,13,Jeremy Kerley
2014,2014-11-24,11,12,26.016,NYJ,BUF,False,5,5,66,13.20,0,100.0%,13.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,42,14.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,74%,0,0%,4,14%,True,False,3,38,Jeremy Kerley
2014,2014-12-01,12,13,26.023,NYJ,MIA,False,1,1,2,2.00,0,100.0%,2.00,2,38,19.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,14,4.67,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,56%,0,0%,4,15%,False,False,13,16,Jeremy Kerley
2014,2014-12-07,13,14,26.029,NYJ,MIN,False,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,13,6.50,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,57,73%,0,0%,4,12%,True,False,24,30,Jeremy Kerley
2014,2014-12-14,14,15,26.036,NYJ,TEN,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,23,7.67,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,52%,0,0%,6,21%,True,True,16,11,Jeremy Kerley
2014,2014-12-21,15,16,26.043,NYJ,NWE,True,6,3,54,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,35,11.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,73%,0,0%,5,19%,False,False,16,17,Jeremy Kerley
2014,2014-12-28,16,17,26.050,NYJ,MIA,True,2,1,33,33.00,0,50.0%,16.50,2,11,5.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,4,41,10.25,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,84%,0,0%,6,17%,True,True,37,24,Jeremy Kerley
2015,2015-09-13,1,1,26.309,NYJ,CLE,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,13,6.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,2,9%,False,True,31,10,Jeremy Kerley
2015,2015-09-21,2,2,26.317,NYJ,IND,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,2,9%,True,True,20,7,Jeremy Kerley
2015,2015-09-27,3,3,26.323,NYJ,PHI,True,11,6,33,5.50,1,54.5%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,69,9.86,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,69,91%,0,0%,9,27%,False,False,17,24,Jeremy Kerley
