Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-12-14,14,15,,BAL,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,9,13,Ray Rice
2008,2008-12-20,15,16,,BAL,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,33,24,Ray Rice
2008,2008-12-28,16,17,,BAL,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,7,Ray Rice
2009,2009-09-13,1,1,22.234,BAL,KAN,True,19,108,5.68,0,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,0,0,0,0,0,,,,,,,False,True,38,24,Ray Rice
2009,2009-09-20,2,2,22.241,BAL,SDG,True,8,36,4.50,0,6,5,46,9.20,0,83.3%,7.67,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,0,0,0,0,0,,,,,,,True,True,31,26,Ray Rice
2009,2009-09-27,3,3,22.248,BAL,CLE,True,11,48,4.36,1,7,4,27,6.75,0,57.1%,3.86,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0,0,0,0,0,0,,,,,,,False,True,34,3,Ray Rice
2009,2009-10-04,4,4,22.255,BAL,NWE,False,11,103,9.36,0,7,5,49,9.80,0,71.4%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,0,0,0,0,0,,,,,,,True,False,21,27,Ray Rice
2009,2009-10-11,5,5,22.262,BAL,CIN,True,14,69,4.93,0,8,7,74,10.57,1,87.5%,9.25,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0,0,0,0,0,0,,,,,,,False,False,14,17,Ray Rice
2009,2009-10-18,6,6,22.269,BAL,MIN,True,10,77,7.70,2,11,10,117,11.70,0,90.9%,10.64,0,0,,0,0,0,,0,,,,0,0,,0,,2,12,0,0,0,0,0,0,,,,,,,True,False,31,33,Ray Rice
2009,2009-11-01,7,8,22.283,BAL,DEN,True,23,84,3.65,1,5,5,24,4.80,0,100.0%,4.80,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0,0,0,0,0,0,,,,,,,False,True,30,7,Ray Rice
