Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2021,2021-10-31,7,8,25.204,SFO,@,CHI,W 33-22,False,1,2,50.0,4,5,80.0,0,13,0.0,0,0,0,0,0,0,0%,0,0%,14,52%,True,Joey Slye
2021,2021-11-14,9,10,25.218,WAS,,TAM,W 29-19,False,2,2,100.0,3,3,100.0,0,11,0.0,1,0,1,0,0,0,0%,0,0%,12,48%,False,Joey Slye
2021,2021-11-21,10,11,25.225,WAS,@,CAR,W 27-21,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,11,42%,True,Joey Slye
2021,2021-11-29,11,12,25.233,WAS,,SEA,W 17-15,False,,1,0.0,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,4,17%,False,Joey Slye
2021,2021-12-05,12,13,,WAS,@,LVR,W 17-15,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Joey Slye
2021,2021-12-12,13,14,,WAS,,DAL,L 20-27,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Joey Slye
2021,2021-12-21,14,15,,WAS,@,PHI,L 17-27,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Joey Slye
2021,2021-12-26,15,16,25.260,WAS,@,DAL,L 14-56,False,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0%,0,0%,5,15%,True,Joey Slye
2021,2022-01-02,16,17,25.267,WAS,,PHI,L 16-20,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,9,42%,False,Joey Slye
2021,2022-01-09,17,18,25.274,WAS,@,NYG,W 22-7,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,9,38%,True,Joey Slye
,44 Games,,,,,,,16-28-0,False,82,93,88.2,77,93,82.8,0,313,0.0,3,1,4,0,0,,,,,,,False,Joey Slye
