Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-24,3,3,26.226,DEN,@,BUF,L 16-26,True,8,36,4.50,0,2,2,7,3.50,0,100.0%,3.50,,0,0,0,0,0,0,0,0,49,70%,0,0%,0,0%,True,C.J. Anderson
2017,2017-10-01,4,4,26.233,DEN,,OAK,W 16-10,True,20,95,4.75,0,4,4,17,4.25,0,100.0%,4.25,,0,0,0,0,0,0,0,0,44,69%,0,0%,0,0%,False,C.J. Anderson
2017,2017-10-15,5,6,26.247,DEN,,NYG,L 10-23,True,9,17,1.89,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,38,47%,0,0%,0,0%,False,C.J. Anderson
2017,2017-10-22,6,7,26.254,DEN,@,LAC,L 0-21,True,10,44,4.40,0,2,1,17,17.00,0,50.0%,8.50,,0,0,0,0,0,0,0,0,38,59%,0,0%,0,0%,True,C.J. Anderson
2017,2017-10-30,7,8,26.262,DEN,@,KAN,L 19-29,True,15,78,5.20,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0,0,0,0,0,0,35,48%,0,0%,0,0%,True,C.J. Anderson
2017,2017-11-05,8,9,26.268,DEN,@,PHI,L 23-51,True,9,13,1.44,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,23,35%,0,0%,0,0%,True,C.J. Anderson
2017,2017-11-12,9,10,26.275,DEN,,NWE,L 16-41,True,10,54,5.40,0,1,1,1,1.00,0,100.0%,1.00,,0,0,0,0,0,0,0,0,24,38%,0,0%,0,0%,False,C.J. Anderson
2017,2017-11-19,10,11,26.282,DEN,,CIN,L 17-20,True,13,37,2.85,1,3,2,19,9.50,0,66.7%,6.33,,1,6,1,1,0,0,0,0,30,37%,0,0%,0,0%,False,C.J. Anderson
2017,2017-11-26,11,12,26.289,DEN,@,OAK,L 14-21,True,5,12,2.40,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,19,32%,0,0%,0,0%,True,C.J. Anderson
2017,2017-12-03,12,13,26.296,DEN,@,MIA,L 9-35,True,15,67,4.47,0,7,4,43,10.75,0,57.1%,6.14,,0,0,0,0,0,0,0,0,40,56%,0,0%,0,0%,True,C.J. Anderson
2017,2017-12-10,13,14,26.303,DEN,,NYJ,W 23-0,True,22,48,2.18,0,2,2,25,12.50,0,100.0%,12.50,,0,0,0,0,0,0,0,0,41,59%,0,0%,0,0%,False,C.J. Anderson
2017,2017-12-14,14,15,26.307,DEN,@,IND,W 25-13,True,30,158,5.27,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,54,68%,0,0%,0,0%,True,C.J. Anderson
