Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-10-01,4,4,25.146,DAL,CHI,False,1,13,13.00,0,0,0,0,,0,0.0%,,2,48,24.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,13%,0,0%,7,28%,False,False,18,34,Felix Jones
2012,2012-10-14,5,6,25.159,DAL,BAL,False,18,92,5.11,1,1,1,13,13.00,0,100.0%,13.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,49,55%,0,0%,5,18%,True,False,29,31,Felix Jones
2012,2012-10-21,6,7,25.166,DAL,CAR,True,15,44,2.93,0,6,5,30,6.00,0,83.3%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,49%,0,0%,0,0%,True,True,19,14,Felix Jones
2012,2012-10-28,7,8,25.173,DAL,NYG,True,13,19,1.46,1,3,0,0,,0,0.0%,0.00,0,0,,0,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,62,72%,0,0%,0,0%,False,False,24,29,Felix Jones
2012,2012-11-04,8,9,25.180,DAL,ATL,True,9,39,4.33,0,5,5,70,14.00,0,100.0%,14.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,60%,0,0%,0,0%,True,False,13,19,Felix Jones
2012,2012-11-11,9,10,25.187,DAL,PHI,True,16,71,4.44,0,3,3,22,7.33,1,100.0%,7.33,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,33,61%,0,0%,0,0%,True,True,38,23,Felix Jones
2012,2012-11-18,10,11,25.194,DAL,CLE,True,14,43,3.07,1,3,2,12,6.00,0,66.7%,4.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,46,51%,0,0%,0,0%,False,True,23,20,Felix Jones
2012,2012-11-22,11,12,25.198,DAL,WAS,True,6,14,2.33,0,4,3,47,15.67,1,75.0%,11.75,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,35,45%,0,0%,0,0%,False,False,31,38,Felix Jones
2012,2012-12-02,12,13,25.208,DAL,PHI,False,7,26,3.71,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,23%,0,0%,0,0%,False,True,38,33,Felix Jones
2012,2012-12-09,13,14,25.215,DAL,CIN,False,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,0,0%,True,True,20,19,Felix Jones
