Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-12-31,16.0,17.0,24.099,CLE,PIT,L 24-28,False,6,20,3.33,1,6,6,75,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,30,46%,0,0%,0,0%,True,Duke Johnson,False,24,28
2018.0,2018-09-09,1.0,1.0,24.351,CLE,PIT,T 21-21,False,5,17,3.40,0,6,1,8,8.00,0,16.7%,1.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,46%,0,0%,0,0%,False,Duke Johnson,False,21,21
2018.0,2018-09-16,2.0,2.0,24.358,CLE,NOR,L 18-21,True,3,3,1.00,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,37%,0,0%,0,0%,True,Duke Johnson,False,18,21
2018.0,2018-09-20,3.0,3.0,24.362,CLE,NYJ,W 21-17,False,2,9,4.50,0,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,29,38%,0,0%,3,10%,False,Duke Johnson,True,21,17
2018.0,2018-09-30,4.0,4.0,25.007,CLE,OAK,L 42-45,False,2,11,5.50,0,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,0,4,0.0,1,0,1,0,0,0,0,0,0,0,0,29,36%,0,0%,2,5%,True,Duke Johnson,False,42,45
2018.0,2018-10-07,5.0,5.0,25.014,CLE,BAL,W 12-9,False,5,35,7.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,51%,0,0%,0,0%,False,Duke Johnson,True,12,9
2018.0,2018-10-14,6.0,6.0,25.021,CLE,LAC,L 14-38,False,2,36,18.00,0,5,4,73,18.25,0,80.0%,14.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,47%,0,0%,0,0%,False,Duke Johnson,False,14,38
2018.0,2018-10-21,7.0,7.0,25.028,CLE,TAM,L 23-26,False,1,-4,-4.00,0,4,4,23,5.75,0,100.0%,5.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,51%,0,0%,0,0%,True,Duke Johnson,False,23,26
2018.0,2018-10-28,8.0,8.0,25.035,CLE,PIT,L 18-33,True,2,0,0.00,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,36%,0,0%,1,3%,True,Duke Johnson,False,18,33
2018.0,2018-11-04,9.0,9.0,25.042,CLE,KAN,L 21-37,False,1,8,8.00,0,9,9,78,8.67,2,100.0%,8.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,35,47%,0,0%,0,0%,False,Duke Johnson,False,21,37
2018.0,2018-11-11,10.0,10.0,25.049,CLE,ATL,W 28-16,False,3,15,5.00,0,4,4,31,7.75,1,100.0%,7.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,17,32%,0,0%,1,5%,False,Duke Johnson,True,28,16
2018.0,2018-11-25,11.0,12.0,25.063,CLE,CIN,W 35-20,False,2,16,8.00,0,2,1,23,23.00,0,50.0%,11.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,28%,0,0%,1,4%,True,Duke Johnson,True,35,20
2018.0,2018-12-02,12.0,13.0,25.07,CLE,HOU,L 13-29,False,0,0,,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,35%,0,0%,2,8%,True,Duke Johnson,False,13,29
2018.0,2018-12-09,13.0,14.0,25.077,CLE,CAR,W 26-20,False,2,-6,-3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,35%,0,0%,0,0%,False,Duke Johnson,True,26,20
2018.0,2018-12-15,14.0,15.0,25.083,CLE,DEN,W 17-16,False,4,28,7.00,0,5,4,25,6.25,0,80.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,39%,0,0%,0,0%,True,Duke Johnson,True,17,16
2018.0,2018-12-23,15.0,16.0,25.091,CLE,CIN,W 26-18,False,2,12,6.00,0,6,6,54,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,46%,0,0%,2,8%,False,Duke Johnson,True,26,18
2018.0,2018-12-30,16.0,17.0,25.098,CLE,BAL,L 24-26,False,4,21,5.25,0,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,63%,0,0%,0,0%,True,Duke Johnson,False,24,26
2019.0,2019-09-09,1.0,1.0,25.351,HOU,NOR,L 28-30,False,9,57,6.33,0,5,4,33,8.25,0,80.0%,6.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,64%,0,0%,0,0%,True,Duke Johnson,False,28,30
2019.0,2019-09-15,2.0,2.0,25.357,HOU,JAX,W 13-12,False,6,31,5.17,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,39%,0,0%,3,12%,False,Duke Johnson,True,13,12
2019.0,2019-09-22,3.0,3.0,25.364,HOU,LAC,W 27-20,False,2,2,1.00,0,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,47%,0,0%,5,19%,True,Duke Johnson,True,27,20
2019.0,2019-09-29,4.0,4.0,26.006,HOU,CAR,L 10-16,False,6,56,9.33,0,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,64%,0,0%,0,0%,False,Duke Johnson,False,10,16
2019.0,2019-10-06,5.0,5.0,26.013,HOU,ATL,W 53-32,False,9,59,6.56,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,41%,0,0%,0,0%,False,Duke Johnson,True,53,32
