Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-09-20,2,2,26.020,ARI,@,JAX,W 31-17,True,5,4,34,8.50,1,80.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2009,2009-09-27,3,3,26.027,ARI,,IND,L 10-31,True,13,7,76,10.86,0,53.8%,5.85,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2009,2009-10-11,4,5,26.041,ARI,,HOU,W 28-21,True,6,5,79,15.80,2,83.3%,13.17,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2009,2009-10-18,5,6,26.048,ARI,@,SEA,W 27-3,True,15,13,100,7.69,1,86.7%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2009,2009-10-25,6,7,26.055,ARI,@,NYG,W 24-17,True,13,6,83,13.83,0,46.2%,6.38,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2009,2009-11-01,7,8,26.062,ARI,,CAR,L 21-34,True,10,6,66,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2009,2009-11-08,8,9,26.069,ARI,@,CHI,W 41-21,True,14,9,123,13.67,2,64.3%,8.79,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2009,2009-11-15,9,10,26.076,ARI,,SEA,W 31-20,True,9,7,73,10.43,1,77.8%,8.11,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2009,2009-11-22,10,11,26.083,ARI,@,STL,W 21-13,True,12,8,87,10.88,1,66.7%,7.25,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2009,2009-11-29,11,12,26.090,ARI,@,TEN,L 17-20,True,5,4,34,8.50,0,80.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2009,2009-12-06,12,13,26.097,ARI,,MIN,W 30-17,True,12,8,143,17.88,1,66.7%,11.92,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2009,2009-12-14,13,14,26.105,ARI,@,SFO,L 9-24,True,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2009,2009-12-20,14,15,26.111,ARI,@,DET,W 31-24,True,6,4,36,9.00,1,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2009,2009-12-27,15,16,26.118,ARI,,STL,W 31-10,True,10,5,48,9.60,1,50.0%,4.80,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2009,2010-01-03,16,17,26.125,ARI,,GNB,L 7-33,True,7,3,17,5.67,1,42.9%,2.43,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2010,2010-09-12,1,1,27.012,ARI,@,STL,W 17-13,True,15,3,43,14.33,1,20.0%,2.87,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2010,2010-09-19,2,2,27.019,ARI,@,ATL,L 7-41,True,12,7,83,11.86,0,58.3%,6.92,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2010,2010-09-26,3,3,27.026,ARI,,OAK,W 24-23,False,7,2,26,13.00,1,28.6%,3.71,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
