Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-11-15,9,10,,SEA,@,LAR,L 16-23,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Rashaad Penny
2020,2020-11-19,10,11,,SEA,,ARI,W 28-21,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rashaad Penny
2020,2020-11-30,11,12,,SEA,@,PHI,W 23-17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Rashaad Penny
2020,2020-12-06,12,13,,SEA,,NYG,L 12-17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rashaad Penny
2020,2020-12-13,13,14,,SEA,,NYJ,W 40-3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rashaad Penny
2020,2020-12-20,14,15,24.322,SEA,@,WAS,W 20-15,False,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,6,11%,0,0%,0,0%,True,Rashaad Penny
2020,2020-12-27,15,16,24.329,SEA,,LAR,W 20-9,False,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,4,6%,0,0%,0,0%,False,Rashaad Penny
2020,2021-01-03,16,17,24.336,SEA,@,SFO,W 26-23,False,6,19,3.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,28,43%,0,0%,0,0%,True,Rashaad Penny
2021,2021-09-12,1,1,25.222,SEA,@,IND,W 28-16,False,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,7,13%,0,0%,0,0%,True,Rashaad Penny
2021,2021-09-19,2,2,,SEA,,TEN,L 30-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rashaad Penny
2021,2021-09-26,3,3,,SEA,@,MIN,L 17-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashaad Penny
2021,2021-10-03,4,4,,SEA,@,SFO,W 28-21,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Rashaad Penny
2021,2021-10-07,5,5,,SEA,,LAR,L 17-26,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Rashaad Penny
2021,2021-10-17,6,6,,SEA,@,PIT,L 20-23,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Rashaad Penny
2021,2021-10-25,7,7,25.265,SEA,,NOR,L 10-13,False,6,9,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,20,36%,0,0%,0,0%,False,Rashaad Penny
2021,2021-10-31,8,8,25.271,SEA,,JAX,W 31-7,False,7,7,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,11,19%,0,0%,0,0%,False,Rashaad Penny
2021,2021-11-14,9,10,,SEA,@,GNB,L 0-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Rashaad Penny
2021,2021-11-21,10,11,25.292,SEA,,ARI,L 13-23,True,2,19,9.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,8,16%,0,0%,0,0%,False,Rashaad Penny
2021,2021-11-29,11,12,,SEA,@,WAS,L 15-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashaad Penny
2021,2021-12-05,12,13,25.306,SEA,,SFO,W 30-23,False,10,35,3.50,0,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0,0,0,0,0,0,0,0,29,41%,0,0%,0,0%,False,Rashaad Penny
2021,2021-12-12,13,14,25.313,SEA,@,HOU,W 33-13,True,16,137,8.56,2,1,1,1,1.00,0,100.0%,1.00,0,0,,0,2,12,0,0,0,0,0,0,35,57%,0,0%,0,0%,True,Rashaad Penny
2021,2021-12-21,14,15,25.322,SEA,@,LAR,L 10-20,True,11,39,3.55,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,0,0,0,0,0,0,24,42%,0,0%,0,0%,True,Rashaad Penny
2021,2021-12-26,15,16,25.327,SEA,,CHI,L 24-25,True,17,135,7.94,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6,0,0,0,0,0,0,30,54%,0,0%,0,0%,False,Rashaad Penny
2021,2022-01-02,16,17,25.334,SEA,,DET,W 51-29,True,25,170,6.80,2,3,2,15,7.50,0,66.7%,5.00,0,0,,0,2,12,0,0,0,0,0,0,46,64%,0,0%,0,0%,False,Rashaad Penny
2021,2022-01-09,17,18,25.341,SEA,@,ARI,W 38-30,True,23,190,8.26,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0,0,0,0,0,0,43,74%,0,0%,0,0%,True,Rashaad Penny
,37 Games,,,,,,,26-11-0,False,280,1572,5.61,11,31,23,206,8.96,1,74.2%,6.65,11,184,16.73,0,12,72,1,1,0,2,0,0,,,,,,,False,Rashaad Penny
