Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-12-20,14.0,15.0,,TAM,ATL,W 31-27,True,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,True,Ronald Jones II,True,31,27
2020.0,2020-12-26,15.0,16.0,,TAM,DET,W 47-7,True,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,True,Ronald Jones II,True,47,7
2020.0,2021-01-03,16.0,17.0,23.153,TAM,ATL,W 44-27,False,12,78,6.50,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,54%,0,0%,0,0%,False,Ronald Jones II,True,44,27
2021.0,2021-09-09,1.0,1.0,24.037,TAM,DAL,W 31-29,False,4,14,3.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,6,9%,0,0%,0,0%,False,Ronald Jones II,True,31,29
2021.0,2021-09-19,2.0,2.0,24.047,TAM,ATL,W 48-25,True,6,27,4.50,0,3,1,9,9.00,0,33.3%,3.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,41%,0,0%,0,0%,False,Ronald Jones II,True,48,25
2021.0,2021-09-26,3.0,3.0,24.054,TAM,LAR,L 24-34,False,5,11,2.20,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,16%,0,0%,0,0%,True,Ronald Jones II,False,24,34
2021.0,2021-10-03,4.0,4.0,24.061,TAM,NWE,W 19-17,False,6,25,4.17,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,13,17%,0,0%,0,0%,True,Ronald Jones II,True,19,17
2021.0,2021-10-10,5.0,5.0,24.068,TAM,MIA,W 45-17,False,5,21,4.20,0,1,1,15,15.00,0,100.0%,15.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,14%,0,0%,0,0%,False,Ronald Jones II,True,45,17
2021.0,2021-10-14,6.0,6.0,24.072,TAM,PHI,W 28-22,False,5,20,4.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,19%,0,0%,0,0%,True,Ronald Jones II,True,28,22
2021.0,2021-10-24,7.0,7.0,24.082,TAM,CHI,W 38-3,False,10,63,6.30,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,14,19%,0,0%,0,0%,False,Ronald Jones II,True,38,3
