Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-11-07,9,9,,SDG,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,29,23,Nate Kaeding
2010,2010-11-22,10,11,28.241,SDG,DEN,False,5,5,100.0,,1,0.0,0,5,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,35,14,Nate Kaeding
2010,2010-11-28,11,12,28.247,SDG,IND,False,3,3,100.0,5,5,100.0,0,18,0.0,0,0,0,,,0,0,,0,,,,,,,True,True,36,14,Nate Kaeding
2010,2010-12-05,12,13,28.254,SDG,OAK,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,False,False,13,28,Nate Kaeding
2010,2010-12-12,13,14,28.261,SDG,KAN,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,31,0,Nate Kaeding
2010,2010-12-16,14,15,28.265,SDG,SFO,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,34,7,Nate Kaeding
2010,2010-12-26,15,16,28.275,SDG,CIN,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,True,False,20,34,Nate Kaeding
2010,2011-01-02,16,17,28.282,SDG,DEN,False,3,3,100.0,4,5,80.0,0,15,0.0,0,0,0,,,0,0,,0,,,,,,,True,True,33,28,Nate Kaeding
2011,2011-09-11,1,1,29.169,SDG,MIN,False,,,,,,,0,0,0.0,,,,,,0,0,,,,,,,,,False,True,24,17,Nate Kaeding
2011,2011-09-18,2,2,,SDG,NWE,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,21,35,Nate Kaeding
2011,2011-09-25,3,3,,SDG,KAN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,20,17,Nate Kaeding
2011,2011-10-02,4,4,,SDG,MIA,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,26,16,Nate Kaeding
2011,2011-10-09,5,5,,SDG,DEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,29,24,Nate Kaeding
