Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2004,2004-12-05,12,13,28.196,ATL,TAM,False,,,,,0,,,,,0.0%,,,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,,,,,,,True,False,0,27,Jay Feely
2004,2004-12-12,13,14,28.203,ATL,OAK,False,0,0,,0,0,0,0,,0,0.0%,,5,5,100.0,,,,0,5,0.0,,,,,,,,,,0,,,0,0,0,,,,,,,False,True,35,10,Jay Feely
2004,2004-12-18,14,15,28.209,ATL,CAR,False,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,3,66.7,0,10,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,34,31,Jay Feely
2004,2004-12-26,15,16,28.217,ATL,NOR,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,13,26,Jay Feely
2004,2005-01-02,16,17,28.224,ATL,SEA,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,26,28,Jay Feely
2005,2005-09-11,1,1,29.111,NYG,ARI,False,0,0,,0,0,0,0,,0,0.0%,,6,6,100.0,,,,0,6,0.0,,,,,,,,,,0,,,0,0,0,,,,,,,False,True,42,19,Jay Feely
2005,2005-09-19,2,2,29.119,NYG,NOR,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,27,10,Jay Feely
2005,2005-09-25,3,3,29.125,NYG,SDG,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,23,45,Jay Feely
2005,2005-10-02,4,4,29.132,NYG,STL,False,0,0,,0,0,0,0,,0,0.0%,,5,5,100.0,3,3,100.0,0,14,0.0,2,0,2,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,44,24,Jay Feely
2005,2005-10-16,5,6,29.146,NYG,DAL,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,13,16,Jay Feely
2005,2005-10-23,6,7,29.153,NYG,DEN,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,23,Jay Feely
2005,2005-10-30,7,8,29.160,NYG,WAS,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,5,6,83.3,0,18,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,36,0,Jay Feely
2005,2005-11-06,8,9,29.167,NYG,SFO,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,24,6,Jay Feely
