Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-12-06,13.0,14.0,25.037,TEN,JAX,W 30-9,True,18,24,75.00,162,0,1,75.3,1,0,6.75,4.88,4,13,3.25,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,False,Marcus Mariota,True,30,9
2018.0,2018-12-16,14.0,15.0,25.047,TEN,NYG,W 17-0,True,12,20,60.00,88,0,0,70.4,1,8,4.40,4.40,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,67,96%,0,0%,0,0%,True,Marcus Mariota,True,17,0
2018.0,2018-12-22,15.0,16.0,25.053,TEN,WAS,W 25-16,True,10,13,76.92,110,0,0,101.4,2,15,8.46,8.46,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,27,48%,0,0%,0,0%,False,Marcus Mariota,True,25,16
2018.0,2018-12-30,16.0,17.0,,TEN,IND,L 17-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Marcus Mariota,False,17,33
2019.0,2019-09-08,1.0,1.0,25.313,TEN,CLE,W 43-13,True,14,24,58.33,248,3,0,133.3,4,32,10.33,12.83,3,24,8.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,57,97%,0,0%,0,0%,True,Marcus Mariota,True,43,13
2019.0,2019-09-15,2.0,2.0,25.32,TEN,IND,L 17-19,True,19,28,67.86,154,1,0,93.5,4,35,5.50,6.21,5,32,6.40,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,59,100%,0,0%,0,0%,False,Marcus Mariota,False,17,19
2019.0,2019-09-19,3.0,3.0,25.324,TEN,JAX,L 7-20,True,23,40,57.50,304,0,0,81.7,9,55,7.60,7.60,6,34,5.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,79,100%,0,0%,0,0%,True,Marcus Mariota,False,7,20
2019.0,2019-09-29,4.0,4.0,25.334,TEN,ATL,W 24-10,True,18,27,66.67,227,3,0,129.7,0,0,8.41,10.63,3,22,7.33,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,62,100%,0,0%,0,0%,True,Marcus Mariota,True,24,10
2019.0,2019-10-06,5.0,5.0,25.341,TEN,BUF,L 7-14,True,13,22,59.09,183,0,0,86.0,5,33,8.32,8.32,5,13,2.60,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,57,98%,0,0%,0,0%,False,Marcus Mariota,False,7,14
2019.0,2019-10-13,6.0,6.0,25.348,TEN,DEN,L 0-16,True,7,18,38.89,63,0,2,9.5,3,7,3.50,-1.50,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,38,58%,0,0%,0,0%,True,Marcus Mariota,False,0,16
