Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-10-28,7,8,25.146,JAX,GNB,True,7,4,19,4.75,0,57.1%,2.71,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,51,66%,0,0%,0,0%,True,False,15,24,Mike Thomas
2012,2012-11-04,8,9,25.153,DET,JAX,False,,,,,,0.0%,,,,,,,,,,,,,,0,0,0,0,,0,0,0,14,20%,0,0%,1,5%,True,True,31,14,Mike Thomas
2012,2012-11-11,9,10,25.160,DET,MIN,False,,,,,,0.0%,,,,,,,,,,,,,,0,0,0,0,,0,0,0,6,10%,0,0%,0,0%,True,False,24,34,Mike Thomas
2012,2012-11-18,10,11,25.167,DET,GNB,False,0,0,0,,0,0.0%,,1,6,6.00,0,1,12,12.00,0,0,0,,0,0,0,0,0,0,0,0,0,4,6%,0,0%,1,4%,False,False,20,24,Mike Thomas
2012,2012-11-22,11,12,25.171,DET,HOU,True,6,2,17,8.50,1,33.3%,2.83,1,14,14.00,0,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,58,65%,0,0%,0,0%,False,False,31,34,Mike Thomas
2012,2012-12-02,12,13,25.181,DET,IND,False,4,1,-1,-1.00,0,25.0%,-0.25,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,70,91%,0,0%,1,2%,False,False,33,35,Mike Thomas
2012,2012-12-09,13,14,25.188,DET,GNB,False,0,0,0,,0,0.0%,,2,25,12.50,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,17,20%,0,0%,0,0%,True,False,20,27,Mike Thomas
2012,2012-12-16,14,15,25.195,DET,ARI,False,0,0,0,,0,0.0%,,1,5,5.00,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,18,23%,0,0%,0,0%,True,False,10,38,Mike Thomas
2012,2012-12-22,15,16,25.201,DET,ATL,False,1,1,5,5.00,0,100.0%,5.00,1,8,8.00,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,22,28%,0,0%,1,4%,False,False,18,31,Mike Thomas
2012,2012-12-30,16,17,25.209,DET,CHI,False,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,0,14,22%,0,0%,5,15%,False,False,24,26,Mike Thomas
,61 Games,,,,,,False,295,176,1796,10.20,7,59.7%,6.09,34,268,7.88,0,29,690,23.79,0,76,620,8.16,1,8,48,6,1,0,2,0,0,,,,,,,False,False,39,0,Mike Thomas
