Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2004,2004-11-14,9,10,,CHI,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,19,17,Thomas Jones
2004,2004-11-21,10,11,26.094,CHI,IND,True,18,59,3.28,0,4,4,23,5.75,0,100.0%,5.75,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,10,41,Thomas Jones
2004,2004-11-25,11,12,26.098,CHI,DAL,True,14,46,3.29,0,8,6,48,8.00,0,75.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,7,21,Thomas Jones
2004,2004-12-05,12,13,26.108,CHI,MIN,True,15,49,3.27,0,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,24,14,Thomas Jones
2004,2004-12-12,13,14,26.115,CHI,JAX,True,13,26,2.00,0,5,3,68,22.67,0,60.0%,13.60,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,3,22,Thomas Jones
2004,2004-12-19,14,15,26.122,CHI,HOU,True,15,40,2.67,0,9,7,37,5.29,0,77.8%,4.11,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,5,24,Thomas Jones
2004,2004-12-26,15,16,26.129,CHI,DET,True,22,109,4.95,0,4,4,34,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,1,1,0,0,0,0,True,False,13,19,Thomas Jones
2004,2005-01-02,16,17,26.136,CHI,GNB,True,26,108,4.15,2,4,3,4,1.33,0,75.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,2,12,0,,0,0,0,0,False,False,14,31,Thomas Jones
2005,2005-09-11,1,1,27.023,CHI,WAS,True,15,31,2.07,1,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,False,7,9,Thomas Jones
2005,2005-09-18,2,2,27.030,CHI,DET,True,20,139,6.95,2,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,,,,,0,0,,0,2,12,0,,0,0,0,0,False,True,38,6,Thomas Jones
2005,2005-09-25,3,3,27.037,CHI,CIN,True,27,106,3.93,1,5,5,8,1.60,0,100.0%,1.60,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,False,False,7,24,Thomas Jones
2005,2005-10-09,4,5,27.051,CHI,CLE,True,24,137,5.71,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,10,20,Thomas Jones
2005,2005-10-16,5,6,27.058,CHI,MIN,True,23,89,3.87,2,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,2,12,1,1,0,0,0,0,False,True,28,3,Thomas Jones
2005,2005-10-23,6,7,27.065,CHI,BAL,True,25,139,5.56,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,10,6,Thomas Jones
2005,2005-10-30,7,8,27.072,CHI,DET,True,22,72,3.27,0,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,1,1,0,0,0,0,True,True,19,13,Thomas Jones
2005,2005-11-06,8,9,27.079,CHI,NOR,True,11,40,3.64,0,1,1,-6,-6.00,0,100.0%,-6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,True,20,17,Thomas Jones
2005,2005-11-13,9,10,,CHI,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,17,9,Thomas Jones
2005,2005-11-20,10,11,27.093,CHI,CAR,True,25,87,3.48,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,13,3,Thomas Jones
2005,2005-11-27,11,12,27.100,CHI,TAM,True,25,72,2.88,0,4,3,50,16.67,0,75.0%,12.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,True,13,10,Thomas Jones
