Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-12-16,14,15,27.034,TAM,@,BAL,L 12-20,False,0,0,,0,0,0,,0,0,,,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,7,30%,True,Cairo Santos
2018,2018-12-23,15,16,27.041,TAM,@,DAL,L 20-27,False,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0%,0,0%,10,37%,True,Cairo Santos
2018,2018-12-30,16,17,27.048,TAM,,ATL,L 32-34,False,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,11,34%,False,Cairo Santos
2019,2019-09-08,1,1,27.300,TEN,@,CLE,W 43-13,False,0,0,,0,0,0,,0,0,,,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,0,0,0,0%,0,0%,15,45%,True,Cairo Santos
2019,2019-09-15,2,2,27.307,TEN,,IND,L 17-19,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,31%,False,Cairo Santos
2019,2019-09-19,3,3,27.311,TEN,@,JAX,L 7-20,False,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0%,0,0%,3,11%,True,Cairo Santos
2019,2019-09-29,4,4,27.321,TEN,@,ATL,W 24-10,False,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,39%,True,Cairo Santos
2019,2019-10-06,5,5,27.328,TEN,,BUF,L 7-14,False,0,0,,0,0,0,,0,0,,,1,1,100.0,,4,0.0,0,1,0.0,0,0,0,0,0,1,2%,0,0%,7,28%,False,Cairo Santos
2020,2020-09-13,1,1,28.306,CHI,@,DET,W 27-23,False,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,11,33%,True,Cairo Santos
2020,2020-09-20,2,2,28.313,CHI,,NYG,W 17-13,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,36%,False,Cairo Santos
