Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-12-14,14,15,,ATL,,PIT,L 20-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Julio Jones
2014,2014-12-21,15,16,25.316,ATL,@,NOR,W 30-14,True,8,7,107,15.29,0,87.5%,13.38,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,48,74%,0,0%,0,0%,True,Julio Jones
2014,2014-12-28,16,17,25.323,ATL,,CAR,L 3-34,True,8,4,58,14.50,0,50.0%,7.25,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,55,77%,0,0%,0,0%,False,Julio Jones
2015,2015-09-14,1,1,26.218,ATL,,PHI,W 26-24,True,11,9,141,15.67,2,81.8%,12.82,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,58,76%,0,0%,0,0%,False,Julio Jones
2015,2015-09-20,2,2,26.224,ATL,@,NYG,W 24-20,True,15,13,135,10.38,0,86.7%,9.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,59,82%,0,0%,0,0%,True,Julio Jones
2015,2015-09-27,3,3,26.231,ATL,@,DAL,W 39-28,True,20,12,164,13.67,2,60.0%,8.20,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,60,81%,0,0%,0,0%,True,Julio Jones
2015,2015-10-04,4,4,26.238,ATL,,HOU,W 48-21,True,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,39,55%,0,0%,0,0%,False,Julio Jones
2015,2015-10-11,5,5,26.245,ATL,,WAS,W 25-19,True,10,5,67,13.40,0,50.0%,6.70,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,1,0,0,2,0,1,73,91%,0,0%,0,0%,False,Julio Jones
2015,2015-10-15,6,6,26.249,ATL,@,NOR,L 21-31,True,10,6,93,15.50,0,60.0%,9.30,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,68,93%,0,0%,0,0%,True,Julio Jones
2015,2015-10-25,7,7,26.259,ATL,@,TEN,W 10-7,True,17,9,92,10.22,1,52.9%,5.41,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,66,88%,0,0%,0,0%,True,Julio Jones
