Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-12-09,13,14,24.127,IND,TEN,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,30,28,Joique Bell
2011,2011-09-08,1,1,,NOR,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,34,42,Joique Bell
2011,2011-09-18,2,2,,NOR,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,13,Joique Bell
2011,2012-01-01,16,17,,DET,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,41,45,Joique Bell
2012,2012-09-09,1,1,26.036,DET,STL,False,1,1,1.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,14,47%,False,True,27,23,Joique Bell
2012,2012-09-16,2,2,26.043,DET,SFO,False,6,14,2.33,0,3,2,59,29.50,0,66.7%,19.67,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,20,31%,0,0%,8,28%,True,False,19,27,Joique Bell
2012,2012-09-23,3,3,26.050,DET,TEN,False,5,23,4.60,0,5,4,44,11.00,0,80.0%,8.80,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,23%,0,0%,20,51%,True,False,41,44,Joique Bell
2012,2012-09-30,4,4,26.057,DET,MIN,False,1,2,2.00,0,8,6,72,12.00,0,75.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,35%,0,0%,10,36%,False,False,13,20,Joique Bell
2012,2012-10-14,5,6,26.071,DET,PHI,False,7,38,5.43,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,17,22%,0,0%,20,56%,True,True,26,23,Joique Bell
2012,2012-10-22,6,7,26.079,DET,CHI,False,3,13,4.33,0,4,3,16,5.33,0,75.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,29,43%,0,0%,0,0%,True,False,7,13,Joique Bell
