Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2008,2008-09-29,4,4,32.205,PIT,BAL,True,3,2,57,28.50,0,66.7%,19.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,True,23,20,Hines Ward
2008,2008-10-05,5,5,32.211,PIT,JAX,True,11,7,90,12.86,1,63.6%,8.18,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,True,True,26,21,Hines Ward
2008,2008-10-19,6,7,32.225,PIT,CIN,True,9,4,60,15.00,1,44.4%,6.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,True,True,38,10,Hines Ward
2008,2008-10-26,7,8,32.232,PIT,NYG,True,7,3,30,10.00,0,42.9%,4.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,False,False,14,21,Hines Ward
2008,2008-11-03,8,9,32.240,PIT,WAS,True,5,3,39,13.00,0,60.0%,7.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,True,23,6,Hines Ward
2008,2008-11-09,9,10,32.246,PIT,IND,True,12,8,112,14.00,0,66.7%,9.33,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,False,20,24,Hines Ward
2008,2008-11-16,10,11,32.253,PIT,SDG,True,12,11,124,11.27,0,91.7%,10.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,True,11,10,Hines Ward
2008,2008-11-20,11,12,32.257,PIT,CIN,True,3,1,37,37.00,0,33.3%,12.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,True,27,10,Hines Ward
2008,2008-11-30,12,13,32.267,PIT,NWE,True,8,5,37,7.40,1,62.5%,4.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,True,True,33,10,Hines Ward
2008,2008-12-07,13,14,32.274,PIT,DAL,True,4,1,2,2.00,0,25.0%,0.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,True,20,13,Hines Ward
2008,2008-12-14,14,15,32.281,PIT,BAL,True,9,8,107,13.38,0,88.9%,11.89,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,True,13,9,Hines Ward
2008,2008-12-21,15,16,32.288,PIT,TEN,True,11,7,109,15.57,1,63.6%,9.91,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,True,False,14,31,Hines Ward
2008,2008-12-28,16,17,32.295,PIT,CLE,True,7,6,70,11.67,0,85.7%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,True,31,0,Hines Ward
2009,2009-09-10,1,1,33.186,PIT,TEN,True,10,8,103,12.88,0,80.0%,10.30,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,False,True,13,10,Hines Ward
2009,2009-09-20,2,2,33.196,PIT,CHI,True,7,6,57,9.50,0,85.7%,8.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,False,14,17,Hines Ward
2009,2009-09-27,3,3,33.203,PIT,CIN,True,5,4,82,20.50,0,80.0%,16.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,False,20,23,Hines Ward
2009,2009-10-04,4,4,33.210,PIT,SDG,True,11,8,113,14.13,0,72.7%,10.27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,True,38,28,Hines Ward
2009,2009-10-11,5,5,33.217,PIT,DET,True,7,7,85,12.14,1,100.0%,12.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,True,True,28,20,Hines Ward
2009,2009-10-18,6,6,33.224,PIT,CLE,True,12,8,159,19.88,1,66.7%,13.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,False,True,27,14,Hines Ward
2009,2009-10-25,7,7,33.231,PIT,MIN,True,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,True,27,17,Hines Ward
2009,2009-11-09,8,9,33.246,PIT,DEN,True,9,7,44,6.29,2,77.8%,4.89,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,True,True,28,10,Hines Ward
2009,2009-11-15,9,10,33.252,PIT,CIN,True,10,4,24,6.00,0,40.0%,2.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,False,12,18,Hines Ward
